Difficulty,SA[seconds],distance[meters],ghost[bool],cyclops[bool]
1,1000,2.09999990463257,True,False
1,1000,2.22410678863525,True,False
1,1000,2.2189302444458,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,3.24987554550171,False,False
1,1000,2.49593114852905,True,False
1,1000,2.54821372032166,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,1000,2.5,True,False
1,1000,2.77493786811829,True,False
1,1000,2.89186215400696,True,False
1,800,3.05990052223206,False,False
1,800,2.41674470901489,True,False
1,800,2.41857099533081,True,False
1,800,2.3227162361145,True,False
1,800,2.94890165328979,True,False
1,800,3.05990052223206,True,False
1,800,3.05023455619812,True,False
1,800,2.94890165328979,True,False
1,800,3.05990052223206,True,False
1,800,3.05023455619812,True,False
1,800,2.5,True,False
1,800,2.67995023727417,True,False
1,800,3.05023455619812,True,False
1,800,2.5,True,False
1,800,2.67995023727417,True,False
1,800,3.05023455619812,True,False
1,800,2.5,True,False
1,800,2.67995023727417,True,False
1,800,3.05023455619812,True,False
1,800,2.94890165328979,True,False
1,800,3.05990052223206,True,False
1,800,3.05023455619812,True,False
1,800,2.5,True,False
1,800,2.67995023727417,True,False
1,800,3.05023455619812,True,False
1,800,2.5,True,False
1,800,3.05990052223206,True,False
1,800,3.05023455619812,True,False
1,800,2.94890165328979,True,False
1,800,3.05990052223206,True,False
1,800,3.05023455619812,True,False
1,800,2.5,True,False
1,800,3.05990052223206,True,False
