Difficulty,SA[seconds],distance[meters],ghost[bool],cyclops[bool]
1,1000,2.29999995231628,True,False
1,1000,2.48873233795166,True,False
1,1000,2.53642797470093,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.48873233795166,True,False
1,1000,2.53642797470093,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.09999990463257,True,False
1,1000,1.95474755764008,True,False
1,1000,1.89666569232941,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,1.89666569232941,False,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.29999995231628,True,False
1,1000,2.48873233795166,True,False
1,1000,2.53642797470093,True,False
1,1000,1.89666569232941,False,False
1,1000,2.21821403503418,False,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.87746477127075,False,False
1,1000,2.29999995231628,True,False
1,1000,2.48873233795166,True,False
1,1000,2.53642797470093,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.09999990463257,True,False
1,1000,2.21821403503418,True,False
1,1000,2.20949506759644,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.5,True,False
1,1000,2.76630258560181,True,False
1,1000,2.87746477127075,True,False
1,1000,2.29999995231628,True,False
2,1000,2.76630258560181,False,False
2,1000,2.48873233795166,False,False
2,1000,2.21821403503418,False,False
2,1000,2.53642797470093,False,False
2,1000,2.20949506759644,False,False
2,1000,1.69833290576935,False,False
2,1000,3.05092453956604,False,False
2,1000,2.76630258560181,False,False
2,1000,2.53642797470093,False,False
2,1000,2.20949506759644,False,False
2,1000,1.69833290576935,False,False
2,1000,2.5,True,False
2,1000,2.76630258560181,True,False
2,1000,2.87746477127075,True,False
2,1000,2.5,True,False
2,1000,2.76630258560181,True,False
2,1000,2.87746477127075,True,False
2,1000,2.20949506759644,False,False
2,1000,1.69833290576935,False,False
2,1000,3.05092453956604,False,False
2,1000,2.29999995231628,True,False
2,1000,2.48873233795166,True,False
2,1000,2.53642797470093,True,False
2,1000,3.05092453956604,False,False
2,1000,2.76630258560181,False,False
2,1000,2.21821403503418,False,False
2,1000,1.95474755764008,False,False
2,1000,2.29999995231628,True,False
2,1000,2.48873233795166,True,False
2,1000,2.53642797470093,True,False
2,1000,2.5,True,False
2,1000,2.76630258560181,True,False
2,1000,2.87746477127075,True,False
2,1000,2.09999990463257,True,False
2,1000,2.21821403503418,True,False
2,1000,2.20949506759644,True,False
2,1000,2.29999995231628,True,False
2,1000,2.48873233795166,True,False
2,1000,2.53642797470093,True,False
2,1000,2.87746477127075,False,False
2,1000,2.21821403503418,False,False
2,1000,2.20949506759644,False,False
2,1000,3.05092453956604,False,False
2,1000,2.76630258560181,False,False
2,1000,1.95474755764008,False,False
2,1000,2.48873233795166,False,False
2,1000,2.53642797470093,False,False
2,1000,1.69833290576935,False,False
2,1000,2.21821403503418,False,False
2,1000,1.95474755764008,False,False
2,1000,1.69833290576935,False,False
2,1000,3.05092453956604,False,False
2,1000,2.76630258560181,False,False
2,1000,2.09999990463257,True,False
2,1000,2.21821403503418,True,False
2,1000,2.20949506759644,True,False
2,1000,2.76630258560181,False,False
2,1000,2.48873233795166,False,False
2,1000,2.21821403503418,False,False
2,1000,1.70000004768372,True,False
2,1000,1.69833290576935,True,False
2,1000,2.76630258560181,False,False
2,1000,2.48873233795166,False,False
2,1000,1.89999997615814,True,False
2,1000,1.95474755764008,True,False
2,1000,1.89666569232941,True,False
2,1000,2.5,True,False
2,1000,2.76630258560181,True,False
2,1000,2.87746477127075,True,False
2,1000,2.29999995231628,True,False
2,1000,2.48873233795166,True,False
2,1000,2.53642797470093,True,False
2,1000,2.29999995231628,True,False
2,1000,2.48873233795166,True,False
2,1000,2.53642797470093,True,False
2,1000,2.76630258560181,False,False
2,1000,1.95474755764008,False,False
2,1000,2.76630258560181,False,False
2,1000,2.87746477127075,False,False
2,1000,2.21821403503418,False,False
2,1000,2.20949506759644,False,False
2,1000,2.5,True,False
2,1000,2.76630258560181,True,False
2,1000,2.87746477127075,True,False
2,1000,3.05092453956604,False,False
2,1000,2.48873233795166,False,False
2,1000,1.89999997615814,True,False
2,1000,1.95474755764008,True,False
2,1000,1.89666569232941,True,False
2,1000,2.29999995231628,True,False
2,1000,2.48873233795166,True,False
2,1000,2.53642797470093,True,False
2,1000,2.29999995231628,True,False
2,1000,2.87746477127075,False,False
2,1000,2.21821403503418,True,False
2,1000,2.20949506759644,True,False
3,1000,2.76630258560181,False,False
3,1000,2.48873233795166,False,False
3,1000,1.89999997615814,True,False
3,1000,1.95474755764008,True,False
3,1000,1.89666569232941,True,False
3,1000,3.05092453956604,False,False
3,1000,2.76630258560181,False,False
3,1000,1.89999997615814,True,False
3,1000,1.95474755764008,True,False
3,1000,1.89666569232941,True,False
3,1000,2.29999995231628,True,False
3,1000,2.48873233795166,True,False
3,1000,2.53642797470093,True,False
3,1000,2.76630258560181,False,False
3,1000,2.48873233795166,False,False
3,1000,2.21821403503418,False,False
3,1000,1.70000004768372,True,False
3,1000,1.69833290576935,True,False
3,1000,3.05092453956604,False,False
3,1000,2.87746477127075,False,False
3,1000,1.95474755764008,False,False
3,1000,1.89666569232941,False,False
3,1000,1.95474755764008,False,False
3,1000,1.69833290576935,False,False
3,1000,2.5,True,False
3,1000,2.76630258560181,True,False
3,1000,2.87746477127075,True,False
3,1000,3.05092453956604,False,False
3,1000,2.76630258560181,False,False
3,1000,2.53642797470093,False,False
3,1000,1.89666569232941,False,False
3,1000,2.48873233795166,False,False
3,1000,2.21821403503418,False,False
3,1000,1.89666569232941,False,False
3,1000,2.5,True,False
3,1000,2.76630258560181,True,False
3,1000,2.87746477127075,True,False
3,1000,3.05092453956604,False,False
3,1000,2.76630258560181,False,False
3,1000,2.09999990463257,True,False
3,1000,2.21821403503418,True,False
3,1000,2.20949506759644,True,False
3,1000,2.5,True,False
3,1000,3.23260521888733,False,False
3,1000,2.48873233795166,True,False
3,1000,2.53642797470093,True,False
3,1000,2.87746477127075,False,False
3,1000,1.95474755764008,False,False
3,1000,2.5,True,False
3,1000,2.76630258560181,True,False
3,1000,2.87746477127075,True,False
3,1000,2.76630258560181,False,False
3,1000,2.48873233795166,False,False
3,1000,1.95474755764008,False,False
3,1000,2.29999995231628,True,False
3,1000,2.48873233795166,True,False
3,1000,2.53642797470093,True,False
3,1000,3.05092453956604,False,False
3,1000,2.48873233795166,False,False
3,1000,2.21821403503418,False,False
3,1000,2.20949506759644,False,False
3,1000,3.23260521888733,False,False
3,1000,2.48873233795166,False,False
3,1000,2.53642797470093,False,False
3,1000,2.20949506759644,False,False
3,1000,2.5,True,False
3,1000,2.76630258560181,True,False
3,1000,2.87746477127075,True,False
3,1000,2.5,True,False
3,1000,2.76630258560181,True,False
3,1000,2.87746477127075,True,False
3,1000,2.87746477127075,False,False
3,1000,2.21821403503418,False,False
3,1000,1.89666569232941,False,False
3,1000,3.23260521888733,False,False
3,1000,2.48873233795166,False,False
3,1000,2.5,True,False
3,1000,2.76630258560181,True,False
3,1000,2.87746477127075,True,False
3,1000,2.5,True,False
3,1000,2.48873233795166,True,False
3,1000,2.53642797470093,True,False
3,1000,2.48873233795166,False,False
3,1000,1.95474755764008,False,False
3,1000,2.29999995231628,True,False
3,1000,2.48873233795166,True,False
3,1000,2.53642797470093,True,False
3,1000,2.5,True,False
3,1000,2.76630258560181,True,False
3,1000,2.87746477127075,True,False
3,1000,2.76630258560181,False,False
3,1000,2.48873233795166,False,False
3,1000,1.89999997615814,True,False
3,1000,1.95474755764008,True,False
3,1000,1.89666569232941,True,False
3,1000,2.5,True,False
3,1000,2.76630258560181,True,False
3,1000,2.87746477127075,True,False
3,1000,2.5,True,False
3,1000,2.76630258560181,True,False
3,1000,2.87746477127075,True,False
3,1000,2.5,True,False
3,1000,2.76630258560181,True,False
3,1000,2.87746477127075,True,False
3,1000,2.09999990463257,True,False
3,1000,2.21821403503418,True,False
3,1000,2.20949506759644,True,False
3,1000,3.05092453956604,False,False
3,1000,2.76630258560181,False,False
3,1000,2.48873233795166,False,False
3,1000,2.21821403503418,False,False
3,1000,1.95474755764008,False,False
3,1000,1.69833290576935,False,False
3,1000,2.5,True,False
3,1000,2.76630258560181,True,False
3,1000,2.87746477127075,True,False
3,1000,2.5,True,False
3,1000,2.76630258560181,True,False
3,1000,2.87746477127075,True,False
