Difficulty,SA[seconds],distance[meters],ghost[bool],cyclops[bool]
1,800,2.29999995231628,True,False
1,800,2.37811732292175,True,False
1,800,2.3553307056427,True,False
1,800,2.29999995231628,True,False
1,800,2.37811732292175,True,False
1,800,2.3553307056427,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.29999995231628,True,False
1,800,2.37811732292175,True,False
1,800,2.3553307056427,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.29999995231628,True,False
1,800,2.37811732292175,True,False
1,800,2.3553307056427,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.29999995231628,True,False
1,800,2.12766528129578,True,False
1,800,2.06451678276062,True,False
1,800,2.29999995231628,True,False
1,800,2.37811732292175,True,False
1,800,2.3553307056427,True,False
1,800,2.29999995231628,True,False
1,800,2.37811732292175,True,False
1,800,2.3553307056427,True,False
1,800,2.12766528129578,False,False
1,800,1.78379333019257,False,False
1,800,1.70000004768372,True,False
1,800,1.64189672470093,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.3553307056427,True,False
1,800,2.29999995231628,True,False
1,800,2.37811732292175,True,False
1,800,2.3553307056427,True,False
1,800,2.5,True,False
1,800,2.37811732292175,True,False
1,800,2.06451678276062,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.3553307056427,True,False
1,800,2.29999995231628,True,False
1,800,2.37811732292175,True,False
1,800,2.3553307056427,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.5,True,False
1,800,2.37811732292175,True,False
1,800,2.06451678276062,True,False
1,800,2.06451678276062,False,False
1,800,1.70000004768372,True,False
1,800,1.64189672470093,True,False
1,800,2.29999995231628,True,False
1,800,2.37811732292175,True,False
1,800,2.3553307056427,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.3553307056427,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.29999995231628,True,False
1,800,2.12766528129578,True,False
1,800,2.06451678276062,True,False
1,800,2.29999995231628,True,False
1,800,2.37811732292175,True,False
1,800,2.3553307056427,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.5,True,False
1,800,2.37811732292175,True,False
1,800,2.06451678276062,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.5,True,False
1,800,2.37811732292175,True,False
1,800,2.3553307056427,True,False
1,800,2.29999995231628,True,False
1,800,2.37811732292175,True,False
1,800,2.3553307056427,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.65623474121094,True,False
1,800,2.5,True,False
1,800,2.63361477851868,True,False
1,800,2.3553307056427,True,False
1,800,2.29999995231628,True,False
1,800,2.3553307056427,False,False
1,800,1.88225841522217,True,False
1,800,1.78379333019257,True,False
1,800,2.29999995231628,True,False
1,800,2.12766528129578,True,False
1,800,1.78379333019257,True,False
1,600,2.29999995231628,True,False
1,600,2.51717615127563,True,False
1,600,2.41224694252014,True,False
1,600,2.5,True,False
1,600,2.51717615127563,True,False
