Difficulty,SA[seconds],distance[meters],ghost[bool],cyclops[bool]
1,800,2.29999995231628,True,False
1,800,2.39237976074219,True,False
1,800,2.37868094444275,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,800,2.5,True,False
1,800,2.65072321891785,True,False
1,800,2.68475961685181,True,False
1,600,2.29999995231628,True,False
1,600,2.538569688797,True,False
1,600,2.43851613998413,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.538569688797,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.538569688797,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.7578547000885,True,False
1,600,2.56304240226746,True,False
1,600,2.538569688797,True,False
1,600,2.43851613998413,True,False
1,600,2.5,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.7578547000885,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.538569688797,True,False
1,600,2.5,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,600,2.81077790260315,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.538569688797,True,False
1,600,2.5,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,600,2.81077790260315,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.538569688797,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.538569688797,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.7578547000885,True,False
1,600,2.81077790260315,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.538569688797,True,False
1,600,2.5,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.7578547000885,True,False
1,600,2.81077790260315,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.7578547000885,True,False
1,600,2.5,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.538569688797,True,False
1,600,2.5,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,600,2.81077790260315,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,600,2.5,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.538569688797,True,False
1,600,2.29999995231628,True,False
1,600,2.31928491592407,True,False
1,600,2.43851613998413,True,False
1,600,2.81077790260315,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,600,2.5,True,False
1,600,2.56304240226746,True,False
1,600,2.7578547000885,True,False
1,600,2.5,True,False
1,600,2.82608485221863,True,False
1,600,2.7578547000885,True,False
1,400,2.47536158561707,True,False
1,400,2.39237976074219,True,False
1,400,2.25901079177856,True,False
1,400,2.7071852684021,True,False
1,400,2.65072321891785,True,False
1,400,2.538569688797,True,False
1,400,2.5,True,False
1,400,2.65072321891785,True,False
1,400,2.538569688797,True,False
1,400,2.5,True,False
1,400,2.65072321891785,True,False
1,400,2.538569688797,True,False
1,400,2.5,True,False
1,400,2.47536158561707,True,False
1,400,2.538569688797,True,False
1,400,2.5,True,False
1,400,2.65072321891785,True,False
1,400,2.538569688797,True,False
1,400,2.5,True,False
1,400,2.65072321891785,True,False
1,400,2.538569688797,True,False
1,400,2.5,True,False
1,400,2.82608485221863,False,False
1,400,2.39237976074219,True,False
1,400,2.25901079177856,True,False
1,400,2.5,True,False
1,400,2.65072321891785,False,False
1,400,2.24618983268738,True,False
1,400,2.1393404006958,True,False
1,400,2.7071852684021,True,False
1,400,2.65072321891785,True,False
1,400,2.538569688797,True,False
1,400,2.7071852684021,True,False
1,400,2.65072321891785,True,False
1,400,2.538569688797,True,False
1,400,2.5,True,False
1,400,2.47536158561707,True,False
1,400,2.39237976074219,True,False
1,400,2.5,True,False
1,400,2.65072321891785,True,False
1,400,2.538569688797,True,False
1,400,2.5,True,False
1,400,2.47536158561707,True,False
1,400,2.538569688797,True,False
1,400,2.5,True,False
1,400,2.65072321891785,False,False
1,400,2.24618983268738,True,False
1,400,2.1393404006958,True,False
