Difficulty,SA[seconds],distance[meters],ghost[bool],cyclops[bool]
1,800,2.29999995231628,True,False
1,800,2.35339593887329,True,False
1,800,2.31485676765442,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,800,2.5,True,False
1,800,2.60396003723145,True,False
1,800,2.60679173469543,True,False
1,600,2.29999995231628,True,False
1,600,2.29004693031311,True,False
1,600,2.21114253997803,True,False
1,600,2.5,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.5279700756073,True,False
1,600,2.48009371757507,True,False
1,600,2.5,True,False
1,600,2.5279700756073,True,False
1,600,2.48009371757507,True,False
1,600,2.5,True,False
1,600,2.5279700756073,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.5279700756073,True,False
1,600,2.48009371757507,True,False
1,600,2.5,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.5279700756073,True,False
1,600,2.48009371757507,True,False
1,600,2.5,True,False
1,600,2.5279700756073,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.5279700756073,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.5279700756073,True,False
1,600,2.48009371757507,True,False
1,600,2.76934099197388,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.76934099197388,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.5279700756073,True,False
1,600,2.48009371757507,True,False
1,600,2.5,True,False
1,600,2.5279700756073,True,False
1,600,2.48009371757507,True,False
1,600,2.76934099197388,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.76934099197388,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.5279700756073,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.5279700756073,True,False
1,600,2.67014074325562,True,False
1,600,2.76934099197388,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.76934099197388,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.5,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.76934099197388,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.76934099197388,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,600,2.76934099197388,True,False
1,600,2.75594019889832,True,False
1,600,2.67014074325562,True,False
1,400,2.29999995231628,True,False
1,400,2.35339593887329,True,False
1,400,2.21114253997803,True,False
1,400,2.67956066131592,True,False
1,400,2.60396003723145,True,False
1,400,2.48009371757507,True,False
1,400,2.5,True,False
1,400,2.45198011398315,True,False
1,400,2.48009371757507,True,False
1,400,2.5,True,False
1,400,2.60396003723145,True,False
1,400,2.48009371757507,True,False
1,400,2.5,True,False
1,400,2.60396003723145,True,False
1,400,2.48009371757507,True,False
1,400,2.5,True,False
1,400,2.45198011398315,True,False
1,400,2.48009371757507,True,False
1,400,2.5,True,False
1,400,2.45198011398315,True,False
1,400,2.35339593887329,True,False
1,400,2.67956066131592,True,False
1,400,2.60396003723145,True,False
1,400,2.48009371757507,True,False
1,400,2.5,True,False
