Difficulty,SA[seconds],distance[meters],ghost[bool],cyclops[bool]
1,1000,2.29999995231628,True,False
1,1000,2.43669724464417,True,False
1,1000,2.45123696327209,True,False
1,1000,2.09999990463257,True,False
1,1000,2.17561841011047,True,False
1,1000,2.14129495620728,True,False
1,1000,2.43669724464417,False,False
1,1000,1.89999997615814,True,False
1,1000,1.9206475019455,True,False
1,1000,1.84356868267059,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.29999995231628,True,False
1,1000,2.43669724464417,True,False
1,1000,2.45123696327209,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,1000,2.5,True,False
1,1000,2.70388412475586,True,False
1,1000,2.77339458465576,True,False
1,800,2.29999995231628,True,False
1,800,2.63871550559998,True,False
1,800,2.56148433685303,True,False
1,800,2.88174295425415,False,False
1,800,2.29999995231628,True,False
1,800,2.63871550559998,False,False
1,800,2.1204948425293,True,False
1,800,2.05303597450256,True,False
1,800,2.62310719490051,True,False
1,800,2.63871550559998,True,False
1,800,2.56148433685303,True,False
1,800,2.62310719490051,True,False
1,800,2.63871550559998,True,False
1,800,2.56148433685303,True,False
1,800,2.5,True,False
1,800,2.62310719490051,True,False
1,800,2.63871550559998,True,False
1,800,2.88174295425415,True,False
1,800,2.94621443748474,True,False
1,800,2.90807342529297,True,False
1,800,2.29999995231628,True,False
1,800,2.36935782432556,True,False
1,800,2.34098958969116,True,False
1,800,2.5,True,False
1,800,2.62310719490051,True,False
1,800,2.63871550559998,True,False
1,800,2.94621443748474,False,False
1,800,2.09999990463257,True,False
1,800,2.34098958969116,True,False
1,800,1.87651801109314,False,True
1,800,1.91228246688843,True,False
1,800,2.5,True,False
1,800,2.62310719490051,True,False
1,800,2.90807342529297,True,False
1,800,2.5,True,False
1,800,2.94621443748474,True,False
1,800,2.90807342529297,True,False
1,800,2.29999995231628,True,False
1,800,2.1204948425293,True,False
1,800,2.22955393791199,True,False
1,800,2.5,True,False
1,800,2.62310719490051,True,False
1,800,2.90807342529297,True,False
1,800,2.5,True,False
1,800,2.62310719490051,True,False
1,800,2.63871550559998,True,False
1,800,2.5,True,False
1,800,2.94621443748474,True,False
1,800,2.90807342529297,True,False
1,800,2.62310719490051,False,False
1,800,2.09999990463257,True,False
1,800,2.1204948425293,True,False
1,800,2.22955393791199,True,False
1,800,2.62310719490051,True,False
1,800,2.63871550559998,True,False
1,800,2.56148433685303,True,False
1,800,2.5,True,False
1,800,2.62310719490051,True,False
1,800,2.63871550559998,False,True
1,800,2.56148433685303,True,False
1,800,2.5,True,False
1,800,2.62310719490051,True,False
1,800,2.90807342529297,True,False
1,800,2.5,True,False
1,800,2.63871550559998,True,False
1,800,2.56148433685303,True,False
1,800,2.5,True,False
1,800,2.94621443748474,True,False
1,800,2.90807342529297,True,False
1,800,2.29999995231628,True,False
1,800,2.36935782432556,True,False
1,800,2.34098958969116,True,False
1,800,2.5,True,False
1,800,2.94621443748474,True,False
1,800,2.90807342529297,True,False
1,800,2.62310719490051,True,False
1,800,2.63871550559998,True,False
1,800,2.56148433685303,True,False
1,800,2.62310719490051,False,False
1,800,2.09999990463257,True,False
1,800,2.1204948425293,True,False
1,800,2.22955393791199,True,False
1,800,2.5,True,False
1,800,2.94621443748474,True,False
1,800,2.90807342529297,True,False
1,800,2.5,True,False
1,800,2.62310719490051,True,False
1,800,2.63871550559998,True,False
1,800,2.5,True,False
1,800,2.62310719490051,True,False
1,800,2.63871550559998,True,False
1,800,2.5,True,False
1,800,2.62310719490051,True,False
1,800,2.90807342529297,True,False
1,800,2.5,True,False
1,800,2.62310719490051,True,False
1,800,2.90807342529297,True,False
1,800,2.5,True,False
1,800,2.62310719490051,True,False
1,800,2.63871550559998,True,False
1,800,2.5,True,False
1,800,2.62310719490051,True,False
1,800,2.90807342529297,True,False
1,600,2.30201840400696,True,False
1,600,2.23074221611023,True,False
1,600,2.09716558456421,True,False
1,600,2.50403666496277,False,False
1,600,2.06537103652954,True,False
1,600,1.96477699279785,True,False
1,600,1.80921185016632,True,False
1,600,2.29999995231628,True,False
1,600,2.30201840400696,True,False
1,600,2.23074221611023,True,False
1,600,2.7863073348999,True,False
1,600,2.78466081619263,True,False
1,600,2.70605516433716,True,False
1,600,2.5,True,False
1,600,2.70605516433716,False,False
1,600,2.06537103652954,True,False
1,600,2.09716558456421,True,False
2,1000,2.70388412475586,False,False
