Difficulty,SA[seconds],distance[meters],ghost[bool],cyclops[bool]
1,800,2.09999990463257,True,False
1,800,2.09860157966614,True,False
1,800,2.01798272132874,True,False
1,800,2.5,True,False
1,800,2.34261298179626,True,False
1,800,2.29720330238342,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,3.18767905235291,False,False
1,800,2.29999995231628,True,False
1,800,2.34261298179626,True,False
1,800,2.29720330238342,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
