Difficulty,SA[seconds],distance[meters],ghost[bool],cyclops[bool]
1,1000,2.29999995231628,True,False
1,1000,2.40326619148254,True,False
1,1000,2.39650416374207,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.29999995231628,True,False
1,1000,2.40326619148254,True,False
1,1000,2.39650416374207,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,1000,2.5,True,False
1,1000,2.66378211975098,True,False
1,1000,2.7065327167511,True,False
1,800,2.29999995231628,True,False
1,800,2.34261298179626,True,False
1,800,2.49580502510071,True,False
1,800,2.5,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.84383940696716,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.84383940696716,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.84383940696716,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.84383940696716,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.84383940696716,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.84383940696716,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.29999995231628,True,False
1,800,2.34261298179626,True,False
1,800,2.29720330238342,True,False
1,800,2.5,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.84383940696716,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.84383940696716,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
1,800,2.58522605895996,True,False
1,800,2.84383940696716,True,False
1,800,2.88205146789551,True,False
1,800,2.82783913612366,True,False
1,800,2.5,True,False
1,800,2.59102559089661,True,False
