Difficulty,SA[seconds],distance[meters],ghost[bool],cyclops[bool]
1,1000,2.29999995231628,True,False
1,1000,2.45633792877197,True,False
1,1000,2.48339247703552,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,3.00501418113709,True,False
1,1000,3.15488791465759,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
1,1000,2.5,True,False
1,1000,2.72744393348694,True,False
1,1000,2.81267595291138,True,False
