Difficulty,SA[seconds],distance[meters],ghost[bool],cyclops[bool]
1,1000,2.29999995231628,True,False
1,1000,2.47183084487915,True,False
1,1000,2.50875735282898,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,1000,2.5,True,False
1,1000,2.74602842330933,True,False
1,1000,2.84366178512573,True,False
1,800,2.29999995231628,True,False
1,800,2.69492936134338,True,False
1,800,2.63050866127014,True,False
1,800,2.5,True,False
1,800,3.0136456489563,True,False
1,800,2.99239420890808,True,False
1,800,2.5,True,False
1,800,3.0136456489563,True,False
1,800,2.99239420890808,True,False
1,800,2.9215772151947,True,False
1,800,3.0136456489563,True,False
1,800,2.99239420890808,True,False
1,800,2.9215772151947,True,False
1,800,3.0136456489563,True,False
1,800,2.99239420890808,True,False
1,800,2.5,True,False
1,800,2.656822681427,True,False
1,800,2.99239420890808,True,False
1,800,2.5,True,False
1,800,2.656822681427,True,False
1,800,2.69492936134338,True,False
1,800,2.5,True,False
1,800,2.656822681427,True,False
1,800,2.69492936134338,True,False
1,800,2.5,True,False
1,800,2.656822681427,True,False
1,800,2.69492936134338,True,False
1,800,2.5,True,False
1,800,2.656822681427,True,False
1,800,2.69492936134338,True,False
1,800,2.5,True,False
1,800,3.0136456489563,True,False
1,800,2.99239420890808,True,False
1,800,2.9215772151947,True,False
1,800,3.0136456489563,True,False
1,800,2.99239420890808,True,False
1,800,2.5,True,False
1,800,2.656822681427,True,False
1,800,2.99239420890808,True,False
1,800,2.5,True,False
1,800,3.0136456489563,True,False
1,800,2.99239420890808,True,False
1,800,2.5,True,False
1,800,2.656822681427,True,False
1,800,2.99239420890808,True,False
1,800,2.5,True,False
1,800,3.0136456489563,True,False
1,800,2.99239420890808,True,False
1,800,2.9215772151947,True,False
1,800,3.0136456489563,True,False
1,800,2.99239420890808,True,False
1,800,2.9215772151947,True,False
1,800,3.0136456489563,True,False
1,800,2.99239420890808,True,False
1,800,2.5,True,False
1,800,3.0136456489563,True,False
1,800,2.99239420890808,True,False
1,800,2.5,True,False
1,800,2.656822681427,True,False
1,800,2.69492936134338,True,False
1,800,2.5,True,False
1,800,2.656822681427,True,False
1,800,2.99239420890808,True,False
1,800,2.5,True,False
