subject,difficulty,run,saMedian,saSEM
by,1,0,334.335707199828,24.412968959358412
by,1,1,211.02492743313297,24.652201936313087
by,1,2,282.58871029925,23.23117739106772
by,1,3,237.1907941924565,26.50993492548925
by,1,4,185.683392266848,16.742964257423896
by,1,5,226.27790207656602,20.14377178215815
by,1,6,234.080666462552,17.476278905926034
by,1,7,168.8524115430405,14.013519058233783
by,1,8,243.45367966674598,14.635283918257228
by,1,9,177.6807290843395,13.43640935875873
by,1,10,194.37556233297403,14.744035577411715
by,1,11,251.58655382948103,19.6676822568659
by,1,12,212.585033045383,14.754625105454764
by,1,13,173.47841864131803,14.006198649407661
by,1,14,186.40832245854,18.371683049616536
by,1,15,161.649428096821,16.040599763091702
by,1,16,160.974655486002,20.33592747248026
by,1,17,172.718332892461,11.50915368051255
by,1,18,170.9961847516485,16.682042934291726
by,1,19,149.205229119723,12.798356562398647
by,1,20,195.07997692683847,15.489389033449223
by,1,21,169.193244727346,12.834988468618036
by,1,22,157.243938606341,11.9103320024595
by,1,23,220.05300174427504,17.15780874661562
by,1,24,176.67654574486448,13.291320015844462
by,1,25,192.96021529485452,13.326090528525878
by,1,26,160.449966201777,12.519372901804699
by,1,27,176.22542730034004,13.985700196289228
by,1,28,134.868450258124,11.130071661240844
by,1,29,166.7961301954005,16.420366979447504
by,2,0,185.079185311252,30.367462334118706
by,2,1,298.840443932472,26.227167317120198
by,2,2,219.247237936282,18.93821107929687
by,2,3,246.33236160448502,23.23882618882499
by,2,4,263.374994359074,22.23798038074643
by,2,5,238.94917656067753,25.204808496891314
by,2,6,280.635855924529,25.5685169840991
by,2,7,198.76393464226948,16.526174431418248
by,2,8,186.80253996751048,18.38444039328981
by,2,9,220.44091661459652,18.910102427473117
by,2,10,187.720463996943,15.891641277943569
by,2,11,205.4209270182575,16.58197084123845
by,2,12,230.606754797489,17.698698758308694
by,2,13,238.25184398432597,19.285198454532054
by,2,14,184.01151313291751,16.048494499387967
by,2,15,200.537420003106,14.299139028297466
by,2,16,239.78885514150397,22.22054714490107
by,2,17,144.1410708625675,14.181748350173256
by,2,18,150.623605393778,16.89051963598997
by,2,19,209.38916949301301,17.899056929233144
by,2,20,251.53272247762652,17.237632230476375
by,2,21,170.799967643564,13.471569220486344
by,2,22,162.459981199718,14.386571006322885
by,2,23,199.9531179545305,14.58663796485902
by,2,24,197.89319591667748,18.08181489001522
by,2,25,202.100065929888,12.038813821021057
by,2,26,166.072048437975,17.29907240544247
by,2,27,174.18488090839747,11.692019411713105
by,2,28,146.43351632719998,12.902395451146672
by,2,29,161.514786860477,14.679942290395909
by,3,0,233.87766637046602,23.343164894919155
by,3,1,299.0607427401215,22.497971663282677
by,3,2,267.925521021568,24.8009503057668
by,3,3,219.674496537025,22.019105239955778
by,3,4,248.283842465849,16.48490964771258
by,3,5,247.786727358076,22.731248321232012
by,3,6,206.93734923470902,18.005890819314207
by,3,7,201.730534515877,14.644136246160542
by,3,8,228.024158863021,15.405811028136744
by,3,9,209.858108995685,20.86104465141046
by,3,10,174.592446873962,19.21779947307704
by,3,11,204.79968439073951,18.21538760279556
by,3,12,196.57460245478148,16.56429700998565
by,3,13,207.612181607012,14.418345950197622
by,3,14,219.81695080913852,18.605489765635912
by,3,15,174.93187019274046,16.493854864277065
by,3,16,191.661974705631,15.056094714188408
by,3,17,151.921451897287,12.84282437402957
by,3,18,173.45787617271804,13.714500563140929
by,3,19,173.377264495176,15.539441637131631
by,3,20,222.591837890228,18.952389618554015
by,3,21,171.698299818829,15.536997600906215
by,3,22,186.311072591546,15.399599937077896
by,3,23,187.0932185715155,20.35349379862189
by,3,24,168.8536458401855,13.379479174639803
by,3,25,191.344082146603,15.080385492663881
by,3,26,168.0982026942715,15.204699567537256
by,3,27,183.76315114972653,16.043799542892096
by,3,28,147.977394761259,14.100550684445277
by,3,29,162.08880538281,10.511718620876565
