subject,difficulty,run,saMedian,saSEM
co,1,0,278.162923538057,25.328605752779374
co,1,1,175.507762756046,16.428679349688903
co,1,2,207.085666937292,16.389771738155083
co,1,3,186.113544540462,14.012599084666261
co,1,4,183.08878075484,13.934954878667291
co,1,5,178.8186983144225,15.09521522796384
co,1,6,204.09316832968398,16.33765254282063
co,1,7,215.37549247706954,19.564282614035143
co,1,8,211.0341597648685,15.957337691626199
co,1,9,189.30777981260601,13.38342485308339
co,1,10,232.45700225116198,20.20702293701083
co,1,11,204.922344613815,14.229608682899487
co,1,12,152.3276159978085,14.986039652859574
co,1,13,224.88376818606704,16.860940224141043
co,1,14,153.335170669321,10.286934110271602
co,1,15,213.59350621102504,16.628649496218674
co,1,16,192.565831693288,14.123021266141176
co,1,17,207.77871991665702,14.570646513792068
co,1,18,176.6739640918,17.80749078573447
co,1,19,183.104630565047,22.77158529080068
co,2,0,244.910864145189,20.845919505698806
co,2,1,257.462341359231,19.57424833716031
co,2,2,227.6091580575,18.98742681047719
co,2,3,185.82879022223648,14.734274974051358
co,2,4,195.41230257044998,18.349793895778443
co,2,5,215.6516923750205,18.74931428453665
co,2,6,168.393686798144,20.464582618556456
co,2,7,244.97455641961798,17.804408078460458
co,2,8,172.47551606692699,16.22659818027192
co,2,9,222.085569679598,30.56270269713798
co,2,10,213.725967275579,20.298230892086867
co,2,11,233.218366440962,17.18897829466418
co,2,12,214.914491300235,21.07775317136906
co,2,13,194.498582730424,17.940526835999467
co,2,14,185.575922362969,18.096059046211828
co,2,15,192.241860738375,16.37389939741809
co,2,16,153.125412095564,16.931554331800225
co,2,17,174.74178874697398,16.457573953834203
co,2,18,210.03996151124,21.320446733293117
co,2,19,204.68815881265402,20.89134905758898
co,3,0,221.396973466033,21.829525517161073
co,3,1,249.28661944825052,20.410933786818354
co,3,2,243.4782363863705,18.041317814107742
co,3,3,196.274010752868,14.667430615609033
co,3,4,238.591716395381,18.04229946355618
co,3,5,173.307606258927,16.22193659558149
co,3,6,200.01145447139302,22.680554120243777
co,3,7,261.986403623202,16.58742263317379
co,3,8,190.513302771918,15.744546993316069
co,3,9,251.22203887013399,29.972286408450906
co,3,10,238.64657734735002,25.656926079971047
co,3,11,196.373673412046,16.91465096294399
co,3,12,223.3952053359045,20.456259844678552
co,3,13,180.837659409727,16.878112911987206
co,3,14,162.061092263347,16.647433216592773
co,3,15,216.364172703714,17.158306691232163
co,3,16,182.365111865007,17.052700586625
co,3,17,214.59958779100998,23.8519372751668
co,3,18,200.63078851753,18.86125827163674
co,3,19,220.42051572119698,33.58434334214766
