subject,difficulty,run,saMedian,saSEM
dl,1,0,348.75153695584,35.65460672445247
dl,1,1,332.385936101325,29.155858978789176
dl,1,2,293.926725069187,21.81679406995075
dl,1,3,273.09021269947397,23.23418895939248
dl,1,4,207.466201912564,22.178710115969842
dl,1,5,201.01258372363,16.66529966004094
dl,1,6,193.795997513927,18.01961294033116
dl,1,7,211.1863641541315,19.466425518812926
dl,1,8,233.980420871147,17.749211750002992
dl,1,9,206.853849618535,16.39325161955047
dl,2,0,319.623888000451,25.93154537953939
dl,2,1,286.29713164375704,20.757889120579
dl,2,2,272.577234079683,26.56091165570252
dl,2,3,280.97092534981596,21.974940047368715
dl,2,4,222.924067241171,17.755044886281663
dl,2,5,218.61608991095298,21.747462104104212
dl,2,6,236.32253709388598,24.33185956283481
dl,2,7,225.520536962692,18.55752024739714
dl,2,8,316.623780692616,24.204389496657694
dl,2,9,274.545111423069,19.218556531469787
dl,3,0,339.567540191665,27.21308912171385
dl,3,1,327.47808163041805,25.580000685910537
dl,3,2,270.632868980273,23.773677423524116
dl,3,3,203.278633356085,23.221658823577616
dl,3,4,220.254615717256,22.0238360679129
dl,3,5,219.32502062341047,19.20698465833283
dl,3,6,300.78523414936296,17.590806052724588
dl,3,7,245.09712271150397,22.878468321609198
dl,3,8,259.271431465857,18.735102288285994
dl,3,9,208.552176380336,17.99356086514091
