subject,difficulty,run,saMedian,saSEM
gp,1,0,373.45834173764604,30.952445286288075
gp,1,1,370.630172133594,26.420084662561013
gp,1,2,264.540865328195,25.2761504896523
gp,1,3,339.7907013667045,27.821708064079765
gp,1,4,329.051863400782,29.435558272345975
gp,1,5,346.16373934483397,21.80488764426001
gp,1,6,349.2098059596305,27.11367848444587
gp,1,7,404.5091224857901,24.21399142106414
gp,1,8,295.77438148992496,23.78591354650784
gp,1,9,340.078087127782,24.51297125303938
gp,1,10,314.957565027927,21.96264597735913
gp,1,11,254.6167067447235,23.047201928093546
gp,1,12,258.718421501671,22.183422995198374
gp,1,13,246.10417018456295,22.58268258778007
gp,1,14,187.6952888547715,21.135851372150903
gp,1,15,217.3663611641935,14.673797268790253
gp,1,16,254.74284263314598,20.93650333101814
gp,1,17,185.5249575400705,19.825537932146823
gp,1,18,228.055771871391,19.596193414153504
gp,1,19,190.671227450649,21.246763228536103
gp,1,20,193.9910901856465,18.29519974001453
gp,1,21,166.488903187586,15.261973988796393
gp,1,22,195.753615252126,18.703140785120556
gp,1,23,282.7371131009885,24.302610242039226
gp,1,24,170.283497473729,17.055602399242858
gp,1,25,152.416604936226,16.438714578459397
gp,1,26,180.864126724931,16.430032138220874
gp,1,27,287.19854591699345,17.4272829690243
gp,1,28,168.738608235231,15.366709498156688
gp,2,0,464.500081557545,35.12089752691912
gp,2,1,423.7576924523685,30.284929803150437
gp,2,2,392.82642481065955,36.70692490616766
gp,2,3,456.506434376941,31.231027092200964
gp,2,4,409.13909655977204,30.77171648192006
gp,2,5,433.213932920468,32.28521520580412
gp,2,6,342.717112891206,33.49323752177111
gp,2,7,337.3075336706055,26.668060417131066
gp,2,8,391.842934814713,30.035737389748547
gp,2,9,360.259236793175,27.44184620708705
gp,2,10,426.20192070375504,32.65494487255017
gp,2,11,313.230092846351,27.895770686783443
gp,2,12,363.0747242691715,28.057472527741467
gp,2,13,359.8674395215855,31.978762134672387
gp,2,14,350.43993069502153,34.991129983295615
gp,2,15,357.712554689498,34.827273258779954
gp,2,16,364.132497702764,31.371127437020196
gp,2,17,342.247722842559,22.789167148310685
gp,2,18,291.226946040354,29.359002783741616
gp,2,19,354.299018584347,29.452289288647197
gp,2,20,336.172767533825,26.15617673956463
gp,2,21,304.80252678913547,25.906872524283436
gp,2,22,329.009860692009,29.24218301058597
gp,2,23,425.93011591096547,30.270992472910535
gp,2,24,383.946324851592,29.189894364242544
gp,2,25,335.20066412815095,27.684437623473563
gp,2,26,344.657063027796,22.751671972722896
gp,2,27,386.059150088291,29.514625461832388
gp,2,28,376.892397733053,26.34223131739513
gp,3,0,327.020512942004,34.01407142351035
gp,3,1,397.634126587197,30.86831683626915
gp,3,2,447.779805056616,36.82850895187212
gp,3,3,613.405704696774,35.69217018473413
gp,3,4,545.907760580928,38.972538939492395
gp,3,5,369.05712053528,32.84492974692729
gp,3,6,450.641696087987,35.280757768733196
gp,3,7,440.062337882058,30.086392901627132
gp,3,8,382.412476003032,33.50140244527263
gp,3,9,330.537877793124,38.431882659175535
gp,3,10,432.776982434675,28.79133028089946
gp,3,11,437.0832171911695,35.68230785908028
gp,3,12,401.16655519346796,33.04236589931322
gp,3,13,392.689401543919,31.930164173289157
gp,3,14,394.57353032253195,30.59508745147585
gp,3,15,389.90126796051345,39.233866529859164
gp,3,16,468.774995333922,39.09893236362478
gp,3,17,476.43745782035006,32.75104334363807
gp,3,18,340.376290375819,31.47305574046642
gp,3,19,363.33138483247046,31.48951509298641
gp,3,20,311.2796794390795,29.846096853364937
gp,3,21,445.26774778311,34.10311454077404
gp,3,22,406.7149819112609,33.75537822567504
gp,3,23,506.170390288193,37.03447412793764
gp,3,24,345.8487927427815,29.61410209777379
gp,3,25,397.9379286006855,28.58154254155773
gp,3,26,399.7244839310975,26.90465633083138
gp,3,27,396.296136369084,29.007494320050323
gp,3,28,281.888558567394,28.452087260196922
