subject,difficulty,run,saMedian,saSEM
sh,1,0,332.573085991924,24.277304162410676
sh,1,1,160.82311742584,18.76212021158684
sh,1,2,189.8807873733155,14.013566360938796
sh,1,3,193.3216856945875,18.88151447581671
sh,1,4,161.56862847175302,13.376226811212472
sh,1,5,166.514112601254,12.567766862309933
sh,1,6,176.276467052844,14.967974773670692
sh,1,7,135.351861246551,12.51903722353603
sh,1,8,156.5710226056515,14.384750796514783
sh,1,9,144.28975729312901,10.227115625847537
sh,1,10,144.860460781473,14.973613363600462
sh,1,11,175.127862152687,14.625849187185317
sh,1,12,150.930810944769,12.202441658031445
sh,1,13,170.6444195253,14.27447906538828
sh,1,14,171.145214670196,13.482170364392019
sh,1,15,161.807023416194,10.454505406571737
sh,1,16,133.6500743008125,9.031913508925715
sh,1,17,178.614948880224,13.038644659800136
sh,1,18,158.924804084341,12.390929780936768
sh,1,19,137.378092660413,11.381524888078552
sh,2,0,311.68365999105004,29.640884028431284
sh,2,1,220.39218494718202,22.34737351327389
sh,2,2,264.0084187430525,18.23835722042588
sh,2,3,226.98753625897203,23.81227531531092
sh,2,4,198.6067680222925,14.94328367890579
sh,2,5,181.97089032078452,21.92674151212314
sh,2,6,170.7053592984485,14.778723604699321
sh,2,7,161.865321217164,14.743806778429443
sh,2,8,160.07612331663,15.803100904600027
sh,2,9,160.801459468943,13.292241646180578
sh,2,10,178.66937160347197,19.897900662767594
sh,2,11,173.17745360073496,15.608786636626503
sh,2,12,139.0119976462695,11.957075116450893
sh,2,13,150.81793344086398,13.087567095048279
sh,2,14,186.38871359674351,18.0733166281812
sh,2,15,140.276116074404,17.77284623553787
sh,2,16,148.4583664334965,11.677804286207934
sh,2,17,178.42503419659852,20.339513961455662
sh,2,18,159.017853714243,14.981836701817752
sh,2,19,165.58129120509,14.248245239784042
sh,3,0,257.75679090732496,29.187079969204813
sh,3,1,220.826440464509,20.893435299958
sh,3,2,193.108238300015,23.437317820377285
sh,3,3,223.857273454324,25.36374643013897
sh,3,4,174.11202775977247,16.328260745523508
sh,3,5,152.56849032859049,15.915418430101065
sh,3,6,147.43828120296752,12.786086719035902
sh,3,7,154.300391252022,12.33398535978719
sh,3,8,171.78540456795798,10.997666294050697
sh,3,9,127.570214563337,12.798372316600028
sh,3,10,177.75603101219951,21.8014852638017
sh,3,11,213.2272084015625,15.87966336978389
sh,3,12,171.3707312120025,14.101976252533305
sh,3,13,162.35396048815198,12.892466412227142
sh,3,14,166.19332999053802,11.271483539050362
sh,3,15,171.11384133907302,14.151796464437787
sh,3,16,145.27542048781447,13.55849853236402
sh,3,17,154.021755983812,20.919235421797993
sh,3,18,154.76799136388598,12.950358852389238
sh,3,19,116.701240825289,18.838510005211514
