subject,difficulty,run,saMedian,saSEM
tp,1,0,436.183426265589,34.53142815756168
tp,1,1,404.225477527343,32.28336030821271
tp,1,2,310.942095621755,27.02999245411303
tp,1,3,296.417410026653,21.835873220280337
tp,1,4,332.454624531868,28.84036297246054
tp,1,5,264.510938857915,23.613525923076597
tp,1,6,218.143705931898,21.45907398866733
tp,1,7,259.4812415416775,26.17311696097217
tp,1,8,269.0202273578235,25.50446995364946
tp,1,9,267.412850951001,21.289675440789246
tp,1,10,239.9302958550675,23.659801476803604
tp,1,11,221.5909369845935,25.308640584473686
tp,1,12,229.9692763936925,22.011227090717103
tp,1,13,200.105253648457,19.19048383899969
tp,1,14,225.708212126487,17.775737537668984
tp,1,15,325.94143395601145,20.40758952121939
tp,1,16,200.37642116054198,19.67243699031903
tp,1,17,229.484692719304,19.17213358118039
tp,1,18,210.295787331188,19.56713774936563
tp,1,19,274.0258547269875,28.307395869215814
tp,2,0,330.452418457922,33.36441071631026
tp,2,1,515.8229452815985,36.44889809994511
tp,2,2,408.276274432513,37.51050235892682
tp,2,3,505.2188885768695,37.78901568926528
tp,2,4,358.617164520831,31.527901305548575
tp,2,5,411.291960734878,36.008465182194
tp,2,6,390.12773749072846,36.64055724624505
tp,2,7,396.2852686745915,32.33274224378096
tp,2,8,343.71330235967,36.775504570370565
tp,2,9,358.7362844402915,34.90109440540695
tp,2,10,422.98420179126,29.692790340114676
tp,2,11,327.12510058242697,31.70807755250411
tp,2,12,341.55249080849853,33.505106990880144
tp,2,13,429.36353425172297,38.57268557079969
tp,2,14,482.01839685750645,33.4983707416738
tp,2,15,403.718444521144,29.38673803876027
tp,2,16,351.097447121005,38.05438901767564
tp,2,17,339.85590567572547,27.912216289503757
tp,2,18,470.579109688113,26.322072662597872
tp,2,19,423.100081552006,47.02548712014638
tp,3,0,445.09364992607993,37.38533980687889
tp,3,1,491.618549407841,42.78526534739062
tp,3,2,514.9767461674174,41.2739597957254
tp,3,3,508.045241218122,36.0078994873264
tp,3,4,521.629900546927,40.57903867702971
tp,3,5,601.888205565866,37.69458213215629
tp,3,6,451.099394809452,40.61260637032908
tp,3,7,542.0777001857431,38.7659099372598
tp,3,8,603.854263790864,41.78004418875741
tp,3,9,450.45674041818495,36.89606054906204
tp,3,10,495.6282696392856,39.63673377332956
tp,3,11,489.763375211163,41.80711963732002
tp,3,12,451.8878817155535,36.824605591294954
tp,3,13,401.366688491526,42.100114873498704
tp,3,14,590.507810117158,41.95889554828805
tp,3,15,542.679024943356,40.91137664874636
tp,3,16,603.424164259955,38.05814175805295
tp,3,17,447.78340927125004,39.94723785274153
tp,3,18,408.14678943032504,40.534790573909405
tp,3,19,350.5794018833185,39.197652937470544
