subject,difficulty,condition,date,sa,probabilityCorrect
AA2,1,anisometropia,2017-11-20_02-35-33-PM.csv,1000,1.0
AA2,2,anisometropia,2017-11-20_02-35-33-PM.csv,1000,1.0
AA2,3,anisometropia,2017-11-20_02-35-33-PM.csv,1000,1.0
AA2,1,anisometropia,2017-11-20_02-35-33-PM.csv,800,1.0
AA2,2,anisometropia,2017-11-20_02-35-33-PM.csv,800,0.9696969696969697
AA2,3,anisometropia,2017-11-20_02-35-33-PM.csv,800,0.96
AA2,1,anisometropia,2017-11-20_02-35-33-PM.csv,600,0.9696969696969697
AA2,2,anisometropia,2017-11-20_02-35-33-PM.csv,600,0.96
AA2,3,anisometropia,2017-11-20_02-35-33-PM.csv,600,0.9411764705882353
AA2,1,anisometropia,2017-11-20_02-35-33-PM.csv,400,0.8666666666666667
AA2,2,anisometropia,2017-11-20_02-35-33-PM.csv,400,0.7222222222222222
AA2,3,anisometropia,2017-11-20_02-35-33-PM.csv,400,0.6666666666666666
AA2,1,anisometropia,2017-11-20_03-03-05-PM.csv,1000,0.9574468085106383
AA2,2,anisometropia,2017-11-20_03-03-05-PM.csv,1000,1.0
AA2,3,anisometropia,2017-11-20_03-03-05-PM.csv,1000,0.9896907216494846
AA2,1,anisometropia,2017-11-20_03-03-05-PM.csv,800,0.9696969696969697
AA2,2,anisometropia,2017-11-20_03-03-05-PM.csv,800,0.96
AA2,3,anisometropia,2017-11-20_03-03-05-PM.csv,800,0.9504950495049505
AA2,1,anisometropia,2017-11-20_03-03-05-PM.csv,600,0.9896907216494846
AA2,2,anisometropia,2017-11-20_03-03-05-PM.csv,600,0.9411764705882353
AA2,3,anisometropia,2017-11-20_03-03-05-PM.csv,600,0.9230769230769231
AA2,1,anisometropia,2017-11-20_03-03-05-PM.csv,400,1.0
AA2,2,anisometropia,2017-11-20_03-03-05-PM.csv,400,0.782608695652174
AA2,3,anisometropia,2017-11-20_03-03-05-PM.csv,400,0.8
AA2,1,anisometropia,2017-11-21_04-24-19-PM.csv,1000,1.0
AA2,2,anisometropia,2017-11-21_04-24-19-PM.csv,1000,1.0
AA2,3,anisometropia,2017-11-21_04-24-19-PM.csv,1000,1.0
AA2,1,anisometropia,2017-11-21_04-24-19-PM.csv,800,1.0
AA2,2,anisometropia,2017-11-21_04-24-19-PM.csv,800,1.0
AA2,3,anisometropia,2017-11-21_04-24-19-PM.csv,800,1.0
AA2,1,anisometropia,2017-11-21_04-24-19-PM.csv,600,0.9896907216494846
AA2,2,anisometropia,2017-11-21_04-24-19-PM.csv,600,0.9896907216494846
AA2,3,anisometropia,2017-11-21_04-24-19-PM.csv,600,1.0
AA2,1,anisometropia,2017-11-21_04-24-19-PM.csv,400,0.9833333333333333
AA2,2,anisometropia,2017-11-21_04-24-19-PM.csv,400,0.9245283018867925
AA2,3,anisometropia,2017-11-21_04-24-19-PM.csv,400,0.9245283018867925
AA2,1,anisometropia,2017-11-21_04-54-40-PM.csv,1000,1.0
AA2,2,anisometropia,2017-11-21_04-54-40-PM.csv,1000,1.0
AA2,3,anisometropia,2017-11-21_04-54-40-PM.csv,1000,1.0
AA2,1,anisometropia,2017-11-21_04-54-40-PM.csv,800,1.0
AA2,2,anisometropia,2017-11-21_04-54-40-PM.csv,800,1.0
AA2,3,anisometropia,2017-11-21_04-54-40-PM.csv,800,0.9896907216494846
AA2,1,anisometropia,2017-11-21_04-54-40-PM.csv,600,0.9896907216494846
AA2,2,anisometropia,2017-11-21_04-54-40-PM.csv,600,1.0
AA2,3,anisometropia,2017-11-21_04-54-40-PM.csv,600,0.9230769230769231
AA2,1,anisometropia,2017-11-21_04-54-40-PM.csv,400,0.9565217391304348
AA2,2,anisometropia,2017-11-21_04-54-40-PM.csv,400,0.9487179487179487
AA2,3,anisometropia,2017-11-21_04-54-40-PM.csv,400,0.9210526315789473
AA2,1,anisometropia,2017-11-27_02-34-57-PM.csv,1000,1.0
AA2,2,anisometropia,2017-11-27_02-34-57-PM.csv,1000,0.9896907216494846
AA2,3,anisometropia,2017-11-27_02-34-57-PM.csv,1000,1.0
AA2,1,anisometropia,2017-11-27_02-34-57-PM.csv,800,1.0
AA2,2,anisometropia,2017-11-27_02-34-57-PM.csv,800,0.9896907216494846
AA2,3,anisometropia,2017-11-27_02-34-57-PM.csv,800,0.9696969696969697
AA2,1,anisometropia,2017-11-27_02-34-57-PM.csv,600,1.0
AA2,2,anisometropia,2017-11-27_02-34-57-PM.csv,600,1.0
AA2,3,anisometropia,2017-11-27_02-34-57-PM.csv,600,0.96875
AA2,1,anisometropia,2017-11-27_02-34-57-PM.csv,400,0.9230769230769231
AA2,2,anisometropia,2017-11-27_02-34-57-PM.csv,400,0.9285714285714286
AA2,3,anisometropia,2017-11-27_02-34-57-PM.csv,400,nan
AA2,1,anisometropia,2017-11-27_03-04-44-PM.csv,1000,1.0
AA2,2,anisometropia,2017-11-27_03-04-44-PM.csv,1000,0.9795918367346939
AA2,3,anisometropia,2017-11-27_03-04-44-PM.csv,1000,1.0
AA2,1,anisometropia,2017-11-27_03-04-44-PM.csv,800,0.9896907216494846
AA2,2,anisometropia,2017-11-27_03-04-44-PM.csv,800,0.9896907216494846
AA2,3,anisometropia,2017-11-27_03-04-44-PM.csv,800,0.9504950495049505
AA2,1,anisometropia,2017-11-27_03-04-44-PM.csv,600,1.0
AA2,2,anisometropia,2017-11-27_03-04-44-PM.csv,600,0.9896907216494846
AA2,3,anisometropia,2017-11-27_03-04-44-PM.csv,600,0.9795918367346939
AA2,1,anisometropia,2017-11-27_03-04-44-PM.csv,400,1.0
AA2,2,anisometropia,2017-11-27_03-04-44-PM.csv,400,1.0
AA2,3,anisometropia,2017-11-27_03-04-44-PM.csv,400,0.9375
AA2,1,anisometropia,2017-11-28_04-55-42-PM.csv,1000,1.0
AA2,2,anisometropia,2017-11-28_04-55-42-PM.csv,1000,1.0
AA2,3,anisometropia,2017-11-28_04-55-42-PM.csv,1000,1.0
AA2,1,anisometropia,2017-11-28_04-55-42-PM.csv,800,1.0
AA2,2,anisometropia,2017-11-28_04-55-42-PM.csv,800,1.0
AA2,3,anisometropia,2017-11-28_04-55-42-PM.csv,800,1.0
AA2,1,anisometropia,2017-11-28_04-55-42-PM.csv,600,0.9795918367346939
AA2,2,anisometropia,2017-11-28_04-55-42-PM.csv,600,0.9896907216494846
AA2,3,anisometropia,2017-11-28_04-55-42-PM.csv,600,0.9795918367346939
AA2,1,anisometropia,2017-11-28_04-55-42-PM.csv,400,0.975
AA2,2,anisometropia,2017-11-28_04-55-42-PM.csv,400,1.0
AA2,3,anisometropia,2017-11-28_04-55-42-PM.csv,400,1.0
AA2,1,anisometropia,2017-11-28_05-27-45-PM.csv,1000,1.0
