level,sa,hitRatePreMean,hitRatePostMean,failureRatePreMean,failureRatePostMean,hitRatePresd,hitRatePostsd,failureRatePresd,failureRatePostsd
1,800,0.31925157355,0.33129839674999995,0.0140817599,0.0140817599,0.020895116810937975,0.0015628220538660195,0.02089511662897611,0.0015628218343743969
1,1000,0.4993246700555556,0.4993512095,0.0006753299444444445,0.0006753299444444445,0.0010132387360741373,0.0009246592478680036,0.0010132387360741368,0.0009246592478680143
1,600,0.3227240364,0.3316331664,0.01060929695,0.01060929695,0.01356962292369712,0.0013952578129466527,0.01356962289645588,0.001395257694355316
1,400,0.23912889073684215,0.24431330360000003,0.010871109263157893,0.010871109263157893,0.0102266019925708,0.007402995173025781,0.010226601992570796,0.00740299517302578
1,300,0.23424677528571428,,0.015753224714285714,0.015753224714285714,0.010382578471172271,,0.010382578471172271,
1,200,0.220175594,,0.029824405999999998,0.029824405999999998,0.007131577046108984,,0.007131577046108979,
2,800,0.314210314,0.32400923714999996,0.0191230193,0.0191230193,0.027202075989672815,0.00969843325870093,0.027202075912734026,0.009698433429154824
2,1000,0.48792785988888887,0.49408504000000003,0.01207214011111111,0.01207214011111111,0.028544830491287372,0.008466899044252874,0.028544830491287372,0.008466899044252879
2,600,0.316474979,0.32472785355,0.016858354263157894,0.016858354263157894,0.018664496733504475,0.01131158978219151,0.01866449663874072,0.011311589712760715
2,400,0.22875453773684212,0.2383108672631579,0.021245462263157898,0.021245462263157898,0.017837540140648818,0.007644151268955585,0.017837540140648818,0.007644151268955587
2,300,0.23895825516666666,,0.011041744833333334,0.011041744833333334,0.005894482829151667,,0.00589448282915166,
2,200,0.22466965725,,0.02533034275,0.02533034275,0.010383513426309124,,0.01038351342630911,
3,800,0.31531005770000003,0.32336909105,0.0180232757,0.0180232757,0.026377835823771754,0.012796304909025518,0.026377835739262574,0.012796304830595386
3,1000,0.4900285302777777,0.4909679295,0.009971469722222221,0.009971469722222221,0.024312700945659405,0.015792426719928386,0.024312700945659405,0.01579242671992838
3,600,0.31608813585,0.32502128975,0.017245197599999998,0.017245197599999998,0.021844725525766766,0.012458214995488218,0.02184472551539472,0.012458214994248358
3,400,0.23246286342105263,0.23535655289473684,0.017537136578947368,0.017537136578947368,0.015970833137965712,0.017633731355821296,0.015970833137965705,0.017633731355821292
3,300,0.23267023383333332,,0.017329766166666666,0.017329766166666666,0.007952789677031261,,0.00795278967703126,
3,200,0.222136936,,0.027863064,0.027863064,0.01819182107027311,,0.01819182107027311,
