group,level,sa,dPre,dPost,dPreSD,dPostSD,PPR
normal,1,800,2.3297518497,2.4780796166,0.47397735693063553,0.18204151493402845,1.0636667664494397
normal,1,1000,3.0310686440000003,3.0419734772,0.11503698530311857,0.13470647129486563,1.003597685991568
normal,1,600,2.0855177027000003,2.5627512543999997,0.3426769303800037,0.1214198768801169,1.22883217489938
normal,1,400,1.8192462763,1.9969386926000001,0.3466025430470499,0.2851451725262399,1.0976736457371745
normal,2,800,2.2335928406,2.0370663168,0.45907489933919615,0.289350536952403,0.9120132728634606
normal,2,1000,2.8357169788750003,2.7629546814,0.384255446016039,0.4527999816006916,0.974340775889466
normal,2,600,1.9301121900999998,2.1727290371,0.2476597361510187,0.2373872767239735,1.125700903939387
normal,2,400,1.4393262298,1.6586537634999998,0.4180281424677509,0.20128321769951765,1.1523820862560645
normal,3,800,2.2372377744999996,2.0448073409,0.43644476207867755,0.1963852096220724,0.9139874912745892
normal,3,1000,2.9366762492500005,2.718243741,0.3060568404259695,0.5148118515614037,0.9256191388799545
normal,3,600,1.9310862164000002,2.1876911385000004,0.3090439927651588,0.23719116928047848,1.1328811318317895
normal,3,400,1.6154591078,1.6675368630999998,0.38191560477879366,0.23455299118637676,1.0322371238297214
anomalous,1,800,1.7220296536,2.4465351091,0.5532853657179699,0.2019886976296718,1.420727630320059
anomalous,1,1000,3.06992014,3.0721493423000004,0.13506610821065687,0.10125513816033252,1.0007261434168775
anomalous,1,600,1.9294497398000001,2.4370295197000003,0.4638372664434159,0.18932205591595488,1.2630697081296423
anomalous,1,400,1.5495614103333333,1.9650325552999999,0.30300225717856616,0.4291437054780186,1.2681217680022714
anomalous,2,800,1.5541384992,2.0114023918,0.6100097128866285,0.4380697406944601,1.294223386677171
anomalous,2,1000,2.5447407061,2.7036866506000004,0.7706901151865793,0.4910110371717931,1.0624605658717963
anomalous,2,600,1.599614571,1.9988310306,0.44722014671047877,0.4762867310101354,1.2495704070452605
anomalous,2,400,1.3117894072222223,1.5561250424444444,0.3071995854623534,0.28611185374173664,1.18626132661005
anomalous,3,800,1.5531421901,1.9852095053999999,0.54636454306768,0.5149425124815253,1.2781891561854881
anomalous,3,1000,2.5840590099,2.6453780273000005,0.7404060750265624,0.6314056975929517,1.0237297279841817
anomalous,3,600,1.6970547479999998,2.0985569273999998,0.5817152873335537,0.5721059007559972,1.2365876409545273
anomalous,3,400,1.3918659922222223,1.4946804331111112,0.5041548570673476,0.5140299809503632,1.0738680601892843
