condition,difficulty,sa,meanPreC,meanPostC
anisometropia,1,1000,0.9973678438254003,1.0
anisometropia,1,800,0.9650113228203386,0.9978610000701311
anisometropia,1,600,0.9691235277963549,0.997852233676976
anisometropia,1,400,0.9672620298298564,0.9911548955465699
anisometropia,2,1000,0.9978565255569583,0.9978782672081641
anisometropia,2,800,0.9512791769011117,0.9864623193857363
anisometropia,2,600,0.9453000792422733,0.9869646994826118
anisometropia,2,400,0.9177499217250038,0.9593581825040584
anisometropia,3,1000,0.9991408934707904,0.9968637992831542
anisometropia,3,800,0.9650170884265825,0.9869104574038301
anisometropia,3,600,0.9548971556571635,0.9927067965580484
anisometropia,3,400,0.917633317478828,0.9565126381796597
binocular,1,1000,0.998926116838488,0.9984675282171601
binocular,1,800,0.9852136175186619,0.9941895283574225
binocular,1,600,0.9805692542873871,0.9962408643557392
binocular,1,400,0.970831556673289,0.981358994661203
binocular,2,1000,0.9934465811495263,0.9895112203266196
binocular,2,800,0.9809235213227385,0.9764282481249655
binocular,2,600,0.9715878756516592,0.9845574908501357
binocular,2,400,0.9223342153232116,0.9562392841406645
binocular,3,1000,0.9960128303117561,0.9863699766923709
binocular,3,800,0.981550928772281,0.9794014803806098
binocular,3,600,0.9687562748152535,0.9851454929330019
binocular,3,400,0.9481070021785921,0.9567169336030277
strabismus,1,1000,0.9987068656930126,0.9978610000701311
strabismus,1,800,0.8990339723047764,0.9894248603273962
strabismus,1,600,0.9126308640594369,0.9902334410802747
strabismus,1,400,0.8740711306715007,0.9553562114210433
strabismus,2,1000,0.9166079152853578,0.9703848734629477
strabismus,2,800,0.8338051000027544,0.9360435681939072
strabismus,2,600,0.8538112087426342,0.9259096371890496
strabismus,2,400,0.8554243836319729,0.9153737079361514
strabismus,3,1000,0.9226285681214847,0.9482581907738609
strabismus,3,800,0.833808337508042,0.9220820857866866
strabismus,3,600,0.8740837070351337,0.9245420198994766
strabismus,3,400,0.8571137425807444,0.8749158628477477
stereo-weak,1,1000,1.0,0.9991408934707904
stereo-weak,1,800,0.971938543228505,0.9940733869305298
stereo-weak,1,600,0.9879218698977534,0.9923376410858002
stereo-weak,1,400,0.9452809432809433,0.9721642726830881
stereo-weak,2,1000,0.9957395329265728,0.9991408934707904
stereo-weak,2,800,0.9825104273617173,0.9957220001402622
stereo-weak,2,600,0.9706087344497203,0.9914790658531454
stereo-weak,2,400,0.95841918543331,0.9637988739598722
stereo-weak,3,1000,0.9974226804123711,0.9991408934707904
stereo-weak,3,800,0.9754368503403488,0.9889883476039589
stereo-weak,3,600,0.9778958200656778,0.9931967476150099
stereo-weak,3,400,0.9519786957184515,0.952265910474279
