subject,difficulty,run,saMedian,saSEM
aj,1,0,243.189716809039,27.847916532235633
aj,1,1,203.441212912476,23.710328421889685
aj,1,2,216.527116951129,22.916881318369914
aj,1,3,204.713594117391,18.913520480353174
aj,1,4,219.8018057078005,16.891662512800675
aj,1,5,222.202394929331,15.805264247893216
aj,1,6,223.422642782957,16.112979672390516
aj,1,7,184.874112676479,15.569667044338026
aj,1,8,162.5992813532055,17.211718493521573
aj,1,9,225.6448542955275,20.577073232533525
aj,2,0,263.90678598057,26.047645972350143
aj,2,1,265.934255729956,22.001838175327084
aj,2,2,237.63377511400404,23.270126850934556
aj,2,3,285.462879973358,22.406616677305383
aj,2,4,205.61131958783199,22.13476000571844
aj,2,5,172.58360540221452,19.64303663756787
aj,2,6,203.556700808448,21.06726864639973
aj,2,7,222.092136793846,19.909821985503303
aj,2,8,177.21521996926853,13.019127747187717
aj,2,9,183.816714843561,20.185657050657774
aj,3,0,247.08320616877398,20.983607650253628
aj,3,1,282.675405685173,19.8702804528465
aj,3,2,197.099250981176,21.75064469792106
aj,3,3,225.959550340647,20.901075691757875
aj,3,4,202.088862448944,20.47496556665932
aj,3,5,213.43650418489548,19.859452453217482
aj,3,6,282.0540854935195,22.44301874595609
aj,3,7,223.2149007358635,19.835390910748377
aj,3,8,175.997961133474,15.009658642365748
aj,3,9,193.1173568100775,16.11847901185317
