subject,difficulty,run,saMedian,saSEM
bb,1,0,384.235320549544,47.498289419756084
bb,1,1,406.77212139600203,27.878840337388535
bb,1,2,367.684199417366,27.882278957916018
bb,1,3,311.5772204988685,22.537854161707962
bb,1,4,333.59280689439004,26.074274642863468
bb,1,5,342.939352732432,23.354881015915858
bb,1,6,328.78612469466503,23.21331623153082
bb,1,7,304.9875982441775,24.30394852090918
bb,1,8,222.00500256076802,24.635768181268265
bb,1,9,286.138362451234,24.171584401869456
bb,1,10,309.8479492173565,26.909721633428042
bb,1,11,216.267856743888,22.598911018275956
bb,1,12,208.6613036239675,18.79182068068961
bb,1,13,302.820340467996,21.32856289368976
bb,1,14,248.249793094233,20.48063701211738
bb,1,15,232.139640421265,22.75410197955486
bb,1,16,238.47541722901,17.46532182438809
bb,1,17,332.98626644816,19.359805184508183
bb,1,18,246.6132923937665,16.88168432159785
bb,1,19,190.5303667292315,14.940504785152802
bb,1,20,221.220752360607,16.208397975245916
bb,1,21,297.446171767575,21.372945650041093
bb,1,22,241.180025683532,19.47521634538565
bb,1,23,217.3732897116925,18.32238991510443
bb,1,24,246.3113995354875,20.76890626621542
bb,1,25,231.153071535616,17.451218887905476
bb,1,26,199.373476759554,14.543330961914931
bb,1,27,265.65784406897,18.957557264365917
bb,1,28,201.61503402235098,23.654993748106715
bb,1,29,292.121159827285,22.979159856562383
bb,1,30,322.03061732981,30.693603007255575
bb,2,0,451.3715421426141,42.30615282464176
bb,2,1,471.482230607954,38.61222841479784
bb,2,2,400.957125589016,36.94278674713519
bb,2,3,448.4091004912955,32.22402803831665
bb,2,4,487.5933410114496,31.68962812465579
bb,2,5,426.908133667242,31.743419764068577
bb,2,6,432.202170160442,35.4520474783308
bb,2,7,329.329377682959,32.66910446707228
bb,2,8,401.15806271528197,34.89737018858572
bb,2,9,443.954023331318,35.51639290182288
bb,2,10,396.676809744862,32.83753918572013
bb,2,11,488.32515808901303,29.561736243326827
bb,2,12,490.798282576847,32.17081082633871
bb,2,13,302.02321650175804,32.57132309509424
bb,2,14,367.4038825189484,29.26540425894262
bb,2,15,347.0529840579145,32.27820879590743
bb,2,16,413.16511635373706,29.369024761448767
bb,2,17,411.6106747165751,29.206533216451234
bb,2,18,358.25197232253754,27.0328459760048
bb,2,19,374.9977871138435,31.566191910699388
bb,2,20,292.102653812599,30.051892618855035
bb,2,21,351.11229273103896,31.348260127569777
bb,2,22,348.751560221966,28.4133377425605
bb,2,23,317.940677382815,39.56339082942536
bb,2,24,388.050572766716,28.695159176519876
bb,2,25,381.7496094308565,26.392978846170582
bb,2,26,276.110851494633,19.902937651788594
bb,2,27,343.42326039819096,29.85417230719115
bb,2,28,363.0007577618855,34.79949568293206
bb,2,29,383.76872758265205,33.02962243910316
bb,2,30,632.5833518208731,46.08341334869951
bb,3,0,591.470901513183,46.73410799471567
bb,3,1,379.558986235539,37.503220313955815
bb,3,2,513.0445258706175,35.51947760095019
bb,3,3,427.56228026176905,33.64505920636155
bb,3,4,398.0315049761461,33.38439400010568
bb,3,5,411.29939308447996,32.74262503223593
bb,3,6,366.035320008268,26.071081356842633
bb,3,7,469.814060133803,29.93452269559072
bb,3,8,515.546274538251,39.84986948067235
bb,3,9,468.77601202408204,38.75907306284361
bb,3,10,486.2941699297145,35.101507256483885
bb,3,11,517.7611955378361,37.10323191882331
bb,3,12,419.879365913659,32.242697538452205
bb,3,13,357.95842519382103,35.69475188487413
bb,3,14,376.467181971697,31.118562934194557
bb,3,15,405.023405289271,32.23414398500361
bb,3,16,389.851339441681,30.366287122130608
bb,3,17,362.840722997782,34.86181792327765
bb,3,18,336.51971602632597,34.972334484751805
bb,3,19,406.0081410773505,29.8411400909885
bb,3,20,384.633948076985,36.337819695963255
bb,3,21,529.9164382281206,34.55937631895932
bb,3,22,340.07370079085,32.52837187136914
bb,3,23,350.5334838567195,30.410149076386134
bb,3,24,284.515065386903,32.83401935645936
bb,3,25,443.673225399694,30.1716492329996
bb,3,26,348.41900433026495,30.61020534080594
bb,3,27,399.68234316422047,35.54016514038038
bb,3,28,362.2046072053775,31.4324069292384
bb,3,29,437.366661990625,35.16777093889589
bb,3,30,436.12192022370095,45.16283597756471
