subject,difficulty,run,saMedian,saSEM
et,1,0,429.208892608892,31.902185123780722
et,1,1,434.985986993574,31.281204468731744
et,1,2,262.293550143294,26.100292708206894
et,1,3,280.85179597670856,23.31362796466775
et,1,4,245.255593464838,16.270631878964046
et,1,5,257.059926712043,22.20532921677281
et,1,6,219.31887683102403,25.521162454050874
et,1,7,189.955868277928,15.67888800463454
et,1,8,213.14562890210098,15.119211732576256
et,1,9,219.270997880147,20.66294702656255
et,1,10,360.920896944268,28.29863723137301
et,1,11,307.6302934263109,25.55400875986426
et,1,12,197.73677769387902,16.167817396171937
et,1,13,208.80329506526505,15.919661484592377
et,1,14,318.4774048934275,23.88727825752635
et,1,15,289.54708409432453,21.390498396565963
et,1,16,207.47132496008598,16.487365510121148
et,1,17,235.4606466501075,17.820249402560997
et,1,18,388.919795771491,29.215309084183406
et,1,19,246.935367116902,22.566574675207132
et,2,0,346.55622375024006,27.558224696258353
et,2,1,360.931647863169,28.263437922867436
et,2,2,271.8020296773285,21.957871487597213
et,2,3,319.85269306201303,24.06932642959718
et,2,4,243.8149479920525,19.364578951230758
et,2,5,252.37205884085705,23.911797548834667
et,2,6,206.460625622589,17.095127534876713
et,2,7,225.34775177073,18.593100650158476
et,2,8,250.720518357055,20.85871419036549
et,2,9,230.52959244466052,19.45211714350786
et,2,10,386.967607993604,27.247446687785388
et,2,11,273.306181544888,26.58314830920979
et,2,12,215.5651118237935,14.602857385397472
et,2,13,213.62172206141798,17.58513816602801
et,2,14,338.8339367639595,34.11869352976223
et,2,15,341.59808889824797,24.851632997635683
et,2,16,254.18305765185147,18.872310530290424
et,2,17,232.46541747084495,21.331073352128577
et,2,18,435.209262124404,29.692207936554514
et,2,19,283.64622989792997,22.908692070259274
et,3,0,244.11095155267498,20.56944662211344
et,3,1,290.652730369562,26.959164832522163
et,3,2,260.1468581304775,26.450141572423245
et,3,3,238.32405003468602,17.64778854353739
et,3,4,257.408954197201,17.160619680314845
et,3,5,298.502891080923,23.35956397981509
et,3,6,230.42542625352752,23.474513686123547
et,3,7,278.25333874149504,20.43727414866136
et,3,8,294.836027043319,22.03763229770731
et,3,9,238.6098451749515,21.48506638841808
et,3,10,446.05865907934043,32.13834767402432
et,3,11,411.906649383947,30.70424045269674
et,3,12,276.35922489934,19.021632551434493
et,3,13,226.17331984514095,15.739079477408051
et,3,14,346.808948709898,25.460192711706107
et,3,15,365.987597331541,24.161927232205997
et,3,16,219.00735724131602,16.38417860953884
et,3,17,258.497118779389,18.29718561331502
et,3,18,367.1050017793015,25.564755778579134
et,3,19,295.190137039212,22.582990652010256
