subject,difficulty,run,saMedian,saSEM
ez,1,0,242.975982571244,25.88493022771531
ez,1,1,190.5705201777095,31.039807018140763
ez,1,2,252.28406040784648,27.670177524691276
ez,1,3,210.212010271867,19.848024872983995
ez,1,4,174.56308385830346,14.36897367449079
ez,1,5,173.23189626480547,15.959438894951607
ez,1,6,205.90748780673096,16.62850318486724
ez,1,7,165.006265473955,19.459306816153646
ez,1,8,182.40239772270698,15.107925605782949
ez,1,9,181.986093286621,11.534078560278958
ez,1,10,170.0300624364915,15.398203344718931
ez,1,11,201.588167687926,14.72082968997467
ez,1,12,216.00875089392602,15.758407046411273
ez,1,13,187.862613795784,15.01310896691714
ez,1,14,230.38465937643798,17.085272060458546
ez,1,15,175.50897313318052,19.351165462534517
ez,1,16,200.956118683919,17.00629162729982
ez,1,17,184.659147139615,17.017451039521823
ez,1,18,187.438353944655,14.574554818102223
ez,1,19,179.32858076428397,16.007063069958274
ez,1,20,169.682900746017,12.495581210871022
ez,1,21,191.76631681678901,17.231975575812108
ez,1,22,194.787952692183,12.7174970536523
ez,1,23,203.7985586410475,20.277563498383714
ez,1,24,212.007250428181,19.780041572971378
ez,1,25,189.14718545861302,15.350653595528424
ez,1,26,184.6233286016115,15.397688449236357
ez,1,27,180.303306039021,19.472028906807964
ez,1,28,174.068348056878,16.168289490505156
ez,1,29,183.937779565219,13.336917168161804
ez,1,30,152.700579106009,18.116860491931284
ez,2,0,177.55099853142104,24.612441466876614
ez,2,1,193.118217381314,20.828057314543994
ez,2,2,280.60989710138347,26.6866056271354
ez,2,3,187.198434770524,23.59881890404797
ez,2,4,210.695013625429,19.02438767458767
ez,2,5,197.03442593667998,16.282627544524882
ez,2,6,150.873086349485,15.475545561269652
ez,2,7,164.2269298202795,15.67995050250356
ez,2,8,188.430358590733,13.036236428745127
ez,2,9,196.218291426873,13.67114034188368
ez,2,10,187.47154536663896,12.369621552105711
ez,2,11,173.5350563991695,17.53233743942355
ez,2,12,193.84546924401297,18.895346654671375
ez,2,13,181.09583696192504,16.850693038906467
ez,2,14,198.918232014463,15.193699520164182
ez,2,15,233.46981019118599,21.269447131509253
ez,2,16,206.0825946761245,19.971253895446377
ez,2,17,187.379944706845,18.371701406466318
ez,2,18,201.88990276370248,18.022622130896817
ez,2,19,177.195333244467,14.749561495571028
ez,2,20,188.741940611064,12.883501338962315
ez,2,21,173.8361976701335,14.783091182889184
ez,2,22,189.9723681577995,15.359829453553871
ez,2,23,189.4827985438405,16.437110911772713
ez,2,24,207.980469032823,16.11362843424524
ez,2,25,194.1558797431735,18.20017456514683
ez,2,26,198.679936002866,15.303127835912461
ez,2,27,201.3086356032465,16.11838029559885
ez,2,28,207.82937997748303,14.689203981465708
ez,2,29,212.34024717008953,13.955798705173216
ez,2,30,149.252906634861,13.554141393189814
ez,3,0,273.62121484744,23.493854474599154
ez,3,1,237.03025859285702,21.70270026420722
ez,3,2,250.1285463138075,26.050597958442932
ez,3,3,206.641029547729,15.153846205741374
ez,3,4,174.17665760533905,19.50033429947861
ez,3,5,193.528126677558,17.0903930925235
ez,3,6,167.4683305470665,15.201420592301801
ez,3,7,163.748635553602,16.540433734349186
ez,3,8,154.734998527292,13.96467442619142
ez,3,9,169.69733561863399,14.990371227058322
ez,3,10,182.65557157253602,13.945102093667984
ez,3,11,148.473047045086,9.49942796700265
ez,3,12,163.362437524532,16.04599630158426
ez,3,13,203.168406726056,17.415589941511698
ez,3,14,188.244938721956,16.91856109294201
ez,3,15,213.245348396038,21.21980454299026
ez,3,16,217.751777466265,16.198681525413875
ez,3,17,199.77632931257648,16.060598357675037
ez,3,18,196.527702208968,16.35561749267032
ez,3,19,157.81432727178,18.255222195114285
ez,3,20,190.60501990160503,15.327347406542806
ez,3,21,172.27077049272,12.353040419125072
ez,3,22,181.738550239373,19.02672437294839
ez,3,23,192.246673103891,15.671471239784074
ez,3,24,208.48809398903703,14.639355410471127
ez,3,25,186.56940337304695,14.588337108771038
ez,3,26,190.4547010165765,16.16269343799108
ez,3,27,170.57612140856702,16.19317721118587
ez,3,28,145.5535486009365,17.2222924002542
ez,3,29,179.23529584163452,16.003777522938172
ez,3,30,154.857229114767,24.190656521820262
