subject,difficulty,run,saMedian,saSEM
kp,1,0,280.67783863382004,26.848228110989325
kp,1,1,288.069648928809,29.868027278680053
kp,1,2,207.62602194649898,18.331338607676837
kp,1,3,231.20940924094398,16.645013292688567
kp,1,4,229.31242244391402,16.559880399041578
kp,1,5,213.86697380739102,16.74788697155843
kp,1,6,177.96258466760898,14.158523933523801
kp,1,7,168.00296114862851,19.28952107447599
kp,1,8,188.85830377472197,12.824477208629311
kp,1,9,182.17764289277,15.666507341152961
kp,1,10,228.51921242760852,13.036459295142624
kp,1,11,147.794670222301,12.253330453982556
kp,1,12,156.109363301958,14.656060619912541
kp,1,13,179.003685835051,13.367431715659471
kp,1,14,136.805366857003,10.542585260958049
kp,1,15,143.8314952049495,13.391189256040018
kp,1,16,175.2696206568665,13.017994572587542
kp,1,17,156.913079237934,12.397923238274187
kp,1,18,192.044049302555,15.54578113932354
kp,1,19,167.160679561342,15.744946405625345
kp,2,0,245.093467238567,26.997528122757664
kp,2,1,249.095728873599,24.319273232653437
kp,2,2,203.686871911769,17.193011919561272
kp,2,3,223.6349560915065,18.39593661907798
kp,2,4,205.499599743912,19.58886619051713
kp,2,5,202.65759344861752,15.008138015249388
kp,2,6,177.180646718545,12.720863973547326
kp,2,7,177.3207811351275,13.915863618767188
kp,2,8,144.616236518464,18.292697240983536
kp,2,9,169.658977299903,13.481987728670473
kp,2,10,222.026928891084,19.992184495613703
kp,2,11,127.46251607146799,11.736074427815492
kp,2,12,171.568790838945,14.556268365079662
kp,2,13,159.096605718539,9.700933470255448
kp,2,14,139.438588931034,12.472588521442741
kp,2,15,163.123792750399,13.322940474065899
kp,2,16,154.76374209784902,13.781028256798626
kp,2,17,165.447193042256,16.415728498522892
kp,2,18,224.3406275736545,19.111080190544996
kp,2,19,199.7065723905235,13.14462597515064
kp,3,0,229.6404197482835,23.17489693466255
kp,3,1,274.3937252915465,28.347905785743308
kp,3,2,185.118893842035,17.490237172967532
kp,3,3,191.560098481139,16.480319705425497
kp,3,4,227.839593905983,15.905796442606029
kp,3,5,171.518139918747,17.58824680601662
kp,3,6,201.09657054350902,14.47224453609215
kp,3,7,160.019854481513,11.813203233689634
kp,3,8,172.292821093866,21.741620300734823
kp,3,9,191.58996147596503,15.943536459075213
kp,3,10,185.579537979901,17.78846175567638
kp,3,11,164.4943812142085,11.994842932368275
kp,3,12,181.73635053049,14.624180572627376
kp,3,13,162.19169118815398,12.917649776696853
kp,3,14,163.67993725825147,12.010220488840584
kp,3,15,166.344755916633,13.708984808311383
kp,3,16,199.4114623793165,17.418617649639256
kp,3,17,180.2543998166185,14.210321309971121
kp,3,18,210.286346396647,17.77210175729657
kp,3,19,178.99303918159,14.555852378313151
