subject,difficulty,run,saMedian,saSEM
mg,1,0,229.773762334856,26.31684866508738
mg,1,1,203.24809105141895,22.18444285946668
mg,1,2,194.60442665067103,19.618979480401062
mg,1,3,167.429279388242,13.487473137562525
mg,1,4,162.9554179317505,16.267038507392115
mg,1,5,126.48246987730849,12.020916534631741
mg,1,6,139.795272652309,13.543452208548015
mg,1,7,134.68887657228902,10.82260833820182
mg,1,8,136.864260405298,9.325622999399846
mg,1,9,106.8332600983,11.358161819192858
mg,1,10,123.572649863664,12.134249172153002
mg,1,11,133.588501813916,14.628899726730802
mg,1,12,114.365568866866,7.291960487262731
mg,1,13,118.250364413979,8.477485550938614
mg,1,14,124.4300328149325,10.46893919728864
mg,1,15,115.6159839727935,13.263244633351032
mg,1,16,110.8697911969345,8.540015021525836
mg,1,17,113.542783882149,9.091524327574499
mg,1,18,110.944279823008,9.058735628389403
mg,1,19,117.034740278723,10.116961656502104
mg,2,0,329.639506928338,28.299274054101993
mg,2,1,256.309764874421,22.52186518904833
mg,2,2,217.261470707689,20.704976840214727
mg,2,3,387.844054052425,24.255746687161377
mg,2,4,314.32969885732,22.64369721353003
mg,2,5,311.214708152213,20.152005121969125
mg,2,6,288.423251742052,25.85368579729822
mg,2,7,198.630994804885,17.886155847031418
mg,2,8,239.83963966875402,18.754345022259198
mg,2,9,254.04217300566597,17.633901637632167
mg,2,10,490.40604063378197,29.93523975686566
mg,2,11,212.28333161909802,17.88686732659788
mg,2,12,185.39623610633598,18.568033746242698
mg,2,13,208.11301552920295,20.807368849315182
mg,2,14,181.4900821067205,17.456522044299835
mg,2,15,184.743768846634,15.727916136606954
mg,2,16,220.458515995002,18.339142926595006
mg,2,17,348.25314076608595,26.76442745426024
mg,2,18,248.7618883155305,17.455572993650957
mg,2,19,189.509764383149,16.146375691633583
mg,3,0,251.607430611714,22.58459363288068
mg,3,1,261.0596566151735,20.868416068095303
mg,3,2,209.310847678607,19.53374881554388
mg,3,3,358.37522183203754,21.4701641896846
mg,3,4,465.742521244843,24.445431644123246
mg,3,5,327.58530207895603,23.19269410329843
mg,3,6,224.293632250122,22.005980021933542
mg,3,7,209.1427555408525,21.02606150705473
mg,3,8,272.40730807662004,23.694100658187587
mg,3,9,204.578952580614,18.252489738400595
mg,3,10,447.73862709746203,27.45351808016111
mg,3,11,267.716606283815,18.33050316729031
mg,3,12,247.26610902179797,21.00460804046533
mg,3,13,279.10637063719946,23.341011267347447
mg,3,14,283.8115057345575,18.419632346293238
mg,3,15,213.285922648574,16.08684971131681
mg,3,16,188.072950805561,19.512048978463472
mg,3,17,293.41743549655496,22.42367805437411
mg,3,18,234.37121799025903,20.44414923519791
mg,3,19,245.206714008277,17.789700199223002
