subject,difficulty,run,saMedian,saSEM
sr,1,0,191.61991534842298,21.267316241920483
sr,1,1,295.327124397209,21.611374295520818
sr,1,2,223.574040248707,20.456222545639488
sr,1,3,243.741804669377,17.769385577321014
sr,1,4,171.4630053416575,19.16669104871293
sr,1,5,242.299081738546,20.216446011031238
sr,1,6,217.1072793457075,18.730149307897246
sr,1,7,261.658318280925,18.330148762212715
sr,1,8,194.081565150941,22.641621752817127
sr,1,9,252.21929361516248,18.96652710103839
sr,1,10,406.584884526875,21.507436874761247
sr,1,11,176.12403777439303,16.0043420756162
sr,1,12,240.069783696919,15.612463914737157
sr,1,13,236.208611350231,24.730751268908435
sr,1,14,182.826030426476,17.701804557691332
sr,1,15,225.14229155183202,20.827765085421294
sr,1,16,204.658958195167,15.89181761518351
sr,1,17,198.841476501303,20.73557299469991
sr,1,18,222.703838830449,17.448127794629354
sr,1,19,279.749382073108,18.536365496751152
sr,1,20,191.8571212981075,15.214156459929939
sr,1,21,196.076831481792,20.34202886969907
sr,1,22,179.22171558384252,19.014085658836713
sr,1,23,209.580618796398,16.765868216718168
sr,1,24,144.20274311905,15.998921178557941
sr,1,25,269.570309031317,19.41146274962642
sr,1,26,281.79892719327205,20.3040436723754
sr,1,27,262.926611063844,17.951234051186123
sr,1,28,168.617917312413,13.85506289636561
sr,2,0,240.624625399403,16.713322980207142
sr,2,1,260.01844883872195,23.95486600007953
sr,2,2,203.9277919120975,19.97054658468739
sr,2,3,179.5540166296145,18.061118355980184
sr,2,4,218.964225809014,17.62364566112321
sr,2,5,239.3148903172325,19.358509176027933
sr,2,6,190.59571748522305,12.972331983110847
sr,2,7,215.735012023189,17.432848590533556
sr,2,8,178.16232989414902,14.567635779839813
sr,2,9,205.04953495483798,17.403995752410637
sr,2,10,271.37158755488053,20.830478583965945
sr,2,11,171.81618821426997,16.004604407182637
sr,2,12,169.608125027435,14.039855980351238
sr,2,13,162.94961220287,14.23171340191459
sr,2,14,245.647030179447,16.961171982228766
sr,2,15,200.4411531906195,16.46225838842983
sr,2,16,219.682505662192,18.106084401543878
sr,2,17,196.02058565920998,14.785915924350649
sr,2,18,190.431236788783,14.671958786588455
sr,2,19,221.49438318983948,18.10542622882077
sr,2,20,240.75239926440798,18.86879679933256
sr,2,21,185.613745507857,15.472302020129849
sr,2,22,197.76534737641504,19.655601249698712
sr,2,23,215.24168004230896,14.989356162021197
sr,2,24,177.569492642441,13.102849422142246
sr,2,25,185.51694305982952,17.518168732386147
sr,2,26,253.55680321311797,16.715968742632917
sr,2,27,226.770433149291,15.066377001198822
sr,2,28,187.22463359106004,14.77170116587061
sr,3,0,188.722214318194,15.075326864593633
sr,3,1,299.320136844383,26.861233097479047
sr,3,2,278.0134526616845,25.128814257636442
sr,3,3,183.59854466652402,18.716320714259822
sr,3,4,214.759026557514,19.630226753046774
sr,3,5,235.522065290022,16.906623904285794
sr,3,6,188.35463129612202,15.823248573136095
sr,3,7,178.456362903308,14.013521168413765
sr,3,8,223.94603244488601,16.72055489417712
sr,3,9,247.40075553398896,20.16035941003321
sr,3,10,232.69885864992548,21.90072860061768
sr,3,11,180.491417822157,15.515600563597294
sr,3,12,171.176554307402,15.310670789025568
sr,3,13,198.53531881117297,13.27651386597765
sr,3,14,205.04818867207752,14.842533095187836
sr,3,15,194.382218340615,18.684119357685425
sr,3,16,227.978428829818,18.047856053329166
sr,3,17,181.46296212480803,14.73147541995045
sr,3,18,168.910640127552,14.614924284101544
sr,3,19,255.728184271374,17.10121339158339
sr,3,20,219.28907330552897,17.904430957771357
sr,3,21,200.2976237824505,15.176422052489487
sr,3,22,197.664065383766,16.138310079809827
sr,3,23,228.6301847211385,15.006374496982708
sr,3,24,191.56474662085495,16.3590775031825
sr,3,25,232.6735590460955,16.022890775578222
sr,3,26,221.1448013585475,15.831909597517773
sr,3,27,224.608597323255,17.614185728784786
sr,3,28,177.6642479062655,16.75299100550424
