subject,difficulty,condition,date,sa,ratio
sr,1,binocular,2016-07-25_10-43-10-AM.csv,1000,nan
sr,2,binocular,2016-07-25_10-43-10-AM.csv,1000,nan
sr,3,binocular,2016-07-25_10-43-10-AM.csv,1000,nan
sr,1,binocular,2016-07-25_10-43-10-AM.csv,800,1.0
sr,2,binocular,2016-07-25_10-43-10-AM.csv,800,1.0
sr,3,binocular,2016-07-25_10-43-10-AM.csv,800,1.0
sr,1,binocular,2016-07-25_10-43-10-AM.csv,600,0.9895833333333334
sr,2,binocular,2016-07-25_10-43-10-AM.csv,600,0.9896907216494846
sr,3,binocular,2016-07-25_10-43-10-AM.csv,600,0.9896907216494846
sr,1,binocular,2016-07-25_10-43-10-AM.csv,400,0.9264705882352942
sr,2,binocular,2016-07-25_10-43-10-AM.csv,400,0.9504950495049505
sr,3,binocular,2016-07-25_10-43-10-AM.csv,400,1.0
sr,1,binocular,2016-07-25_11-10-47-AM.csv,1000,nan
sr,2,binocular,2016-07-25_11-10-47-AM.csv,1000,nan
sr,3,binocular,2016-07-25_11-10-47-AM.csv,1000,nan
sr,1,binocular,2016-07-25_11-10-47-AM.csv,800,0.9895833333333334
sr,2,binocular,2016-07-25_11-10-47-AM.csv,800,0.9896907216494846
sr,3,binocular,2016-07-25_11-10-47-AM.csv,800,1.0
sr,1,binocular,2016-07-25_11-10-47-AM.csv,600,1.0
sr,2,binocular,2016-07-25_11-10-47-AM.csv,600,0.9696969696969697
sr,3,binocular,2016-07-25_11-10-47-AM.csv,600,0.9896907216494846
sr,1,binocular,2016-07-25_11-10-47-AM.csv,400,0.9320388349514563
sr,2,binocular,2016-07-25_11-10-47-AM.csv,400,0.9795918367346939
sr,3,binocular,2016-07-25_11-10-47-AM.csv,400,0.9896907216494846
sr,1,binocular,2016-07-26_01-03-31-PM.csv,1000,1.0
sr,2,binocular,2016-07-26_01-03-31-PM.csv,1000,1.0
sr,3,binocular,2016-07-26_01-03-31-PM.csv,1000,1.0
sr,1,binocular,2016-07-26_01-03-31-PM.csv,800,1.0
sr,2,binocular,2016-07-26_01-03-31-PM.csv,800,1.0
sr,3,binocular,2016-07-26_01-03-31-PM.csv,800,0.9696969696969697
sr,1,binocular,2016-07-26_01-03-31-PM.csv,600,0.9896907216494846
sr,2,binocular,2016-07-26_01-03-31-PM.csv,600,1.0
sr,3,binocular,2016-07-26_01-03-31-PM.csv,600,1.0
sr,1,binocular,2016-07-26_01-03-31-PM.csv,400,1.0
sr,2,binocular,2016-07-26_01-03-31-PM.csv,400,0.95
sr,3,binocular,2016-07-26_01-03-31-PM.csv,400,0.8461538461538461
sr,1,binocular,2016-07-26_12-35-23-PM.csv,1000,1.0
sr,2,binocular,2016-07-26_12-35-23-PM.csv,1000,1.0
sr,3,binocular,2016-07-26_12-35-23-PM.csv,1000,1.0
sr,1,binocular,2016-07-26_12-35-23-PM.csv,800,1.0
sr,2,binocular,2016-07-26_12-35-23-PM.csv,800,1.0
sr,3,binocular,2016-07-26_12-35-23-PM.csv,800,1.0
sr,1,binocular,2016-07-26_12-35-23-PM.csv,600,1.0
sr,2,binocular,2016-07-26_12-35-23-PM.csv,600,1.0
