subject,id,level,sa,choices,totalTrials_Pre,totalHits_Pre,totalFailures_Pre,totalTrials_Post,hitsPost,failuresPost,hitRatePre,hitRatePreMean,hitRatePresd,z(hit)_pre,failureRatePre,failureRatePreMean,failureRatePresd,z(failure)_pre,hitRatePost,hitRatePostMean,hitRatePostsd,z(hit)_post,failureRatePost,failureRatePostMean,failureRatePostsd,z(failure)_post,,d_prime_pre,d_prime_post
ah,N1,1,800,3,378,375,3,578,576,2,0.330687831,0.319251574,0.020895117,0.54731723,0.002645503,0.01408176,0.020895117,-0.547317208,0.332179931,0.331298397,0.001562822,0.564065658,0.001153403,0.01408176,0.001562822,-8.272444508,,1.094634438,8.836510165
ah,N1,1,1000,2,96,96,0,579,576,3,0.5,0.49932467,0.001013239,0.666506244,0,0.00067533,0.001013239,-0.666506244,0.497409326,0.49935121,0.000924659,-2.100107152,0.002590674,0.00067533,0.000924659,2.071405288,,1.333012488,-4.17151244
ah,N1,1,600,3,400,392,8,582,576,6,0.326666667,0.322724036,0.013569623,0.29054828,0.006666667,0.010609297,0.013569623,-0.290548233,0.329896907,0.331633166,0.001395258,-1.244400414,0.003436426,0.010609297,0.001395258,-5.140893312,,0.581096513,3.896492898
ah,N1,1,400,4,383,368,15,270,263,7,0.240208877,0.239128891,0.010226602,0.105605583,0.009791123,0.010871109,0.010226602,-0.105605583,0.243518519,0.244313304,0.007402995,-0.10735987,0.006481481,0.010871109,0.007402995,-0.592953009,,0.211211166,0.485593139
ah,N1,1,300,4,350,328,22,0,0,0,0.234285714,0.234246775,0.010382578,0.00375039,0.015714286,0.015753225,0.010382578,-0.00375039,nan,,,#VALUE!,nan,0.015753225,,#VALUE!,,0.007500779,#VALUE!
ah,N1,1,200,4,9,8,1,0,0,0,0.222222222,0.220175594,0.007131577,0.286981124,0.027777778,0.029824406,0.007131577,-0.286981124,nan,,,#VALUE!,nan,0.029824406,,#VALUE!,,0.573962249,#VALUE!
ah,N1,2,800,3,380,375,5,593,576,17,0.328947368,0.314210314,0.027202076,0.541762107,0.004385965,0.019123019,0.027202076,-0.541762119,0.323777403,0.324009237,0.009698433,-0.023904289,0.00955593,0.019123019,0.009698433,-0.986457181,,1.083524226,0.962552892
ah,N1,2,1000,2,96,96,0,577,576,1,0.5,0.48792786,0.02854483,0.422918613,0,0.01207214,0.02854483,-0.422918613,0.499133449,0.49408504,0.008466899,0.596252415,0.000866551,0.01207214,0.008466899,-1.323458453,,0.845837225,1.919710868
ah,N1,2,600,3,407,392,15,587,576,11,0.321048321,0.316474979,0.018664497,0.245028948,0.012285012,0.016858354,0.018664497,-0.245028963,0.327086882,0.324727854,0.01131159,0.208549682,0.006246451,0.016858354,0.01131159,-0.938144287,,0.490057911,1.146693969
ah,N1,2,400,4,401,363,38,298,281,17,0.226309227,0.228754538,0.01783754,-0.13708789,0.023690773,0.021245462,0.01783754,0.13708789,0.235738255,0.238310867,0.007644151,-0.336546488,0.014261745,0.021245462,0.007644151,-0.913602703,,-0.27417578,0.577056215
