3,id,level,sa,choices,totalTrials_Pre,totalHits_Pre,totalFailures_Pre,totalTrials_Post,hitsPost,failuresPost,,hitRatePre,failureRatePre,hitRatePost,failureRatePost,,,,,,,id,level,sa,d prime pre,d prime post,improves?,"d' = NORMINV(hit-rate,0,1) - NORMINV(false-alarm-rate,0,1) "
ah,N1,1,800,3,378,375,3,578,576,2,,0.330687831,0.002645503,0.332179931,0.001153403,,0.330687831,0.002645503,0.332179931,0.001153403,,N1,1,800,2.350746562,2.613693347,*,
ah,N1,1,1000,2,96,96,0,579,576,3,,0.5,0,0.497409326,0.002590674,,0.5,0.001,0.497409326,0.002590674,,N1,1,1000,3.090232306,2.789043662,,
ah,N1,1,600,3,400,392,8,582,576,6,,0.326666667,0.006666667,0.329896907,0.003436426,,0.326666667,0.006666667,0.329896907,0.003436426,,N1,1,600,2.025603329,2.262745201,*,
ah,N1,1,400,4,383,368,15,270,263,7,,0.240208877,0.009791123,0.243518519,0.006481481,,0.240208877,0.009791123,0.243518519,0.006481481,,N1,1,400,1.628626619,1.789756072,*,
ah,N1,1,300,4,350,328,22,0,0,0,,0.234285714,0.015714286,#DIV/0!,#DIV/0!,,0.234285714,0.015714286,,,,N1,1,300,1.426798416,,*,
ah,N1,1,200,4,9,8,1,0,0,0,,0.222222222,0.027777778,#DIV/0!,#DIV/0!,,0.222222222,0.027777778,,,,N1,1,200,1.149796147,,*,
ah,N1,2,800,3,380,375,5,593,576,17,,0.328947368,0.004385965,0.323777403,0.00955593,,0.328947368,0.004385965,0.323777403,0.00955593,,N1,2,800,2.177995477,1.88618018,,
ah,N1,2,1000,2,96,96,0,577,576,1,,0.5,0,0.499133449,0.000866551,,0.5,0.001,0.499133449,0.000866551,,N1,2,1000,3.090232306,3.130351975,*,
ah,N1,2,600,3,407,392,15,587,576,11,,0.321048321,0.012285012,0.327086882,0.006246451,,0.321048321,0.012285012,0.327086882,0.006246451,,N1,2,600,1.783327361,2.049935338,*,
ah,N1,2,400,4,401,363,38,298,281,17,,0.226309227,0.023690773,0.235738255,0.014261745,,0.226309227,0.023690773,0.235738255,0.014261745,,N1,2,400,1.231816806,1.469931547,*,
ah,N1,2,300,4,324,299,25,0,0,0,,0.230709877,0.019290123,#DIV/0!,#DIV/0!,,0.230709877,0.019290123,,,,N1,2,300,1.332125082,,*,
